Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.963204903746,9.25859501485,0.0,8.80429995014,0.0,0.242411297809,0.242411297809,0.242411297809,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42578557513
 01/01  02:00:00,0.83137613287,9.15653772967,0.0,8.79509862468,0.0,0.242157955095,0.242157955095,0.242157955095,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335189374784
 01/01  03:00:00,0.780791394911,9.14902490425,0.0,8.81315762304,0.0,0.24265517864,0.24265517864,0.24265517864,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309921895703
 01/01  04:00:00,0.768111671478,9.1909402835,0.0,8.84848533448,0.0,0.24362786658,0.24362786658,0.24362786658,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316874777151
 01/01  05:00:00,0.765304476631,9.2415061401,0.0,8.82580375468,0.0,0.243003368184,0.243003368184,0.243003368184,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39108850796
 01/01  06:00:00,0.817396575084,9.43207683188,0.0,8.69549547624,0.0,0.239415553244,0.239415553244,0.239415553244,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709114246649
 01/01  07:00:00,1.03818630831,9.73930901844,0.0,8.40130860559,0.0,0.231315622356,0.231315622356,0.231315622356,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30626486947
 01/01  08:00:00,1.37961083066,10.3712533568,0.0,8.85839711094,0.0,0.243900770344,0.243900770344,0.243900770344,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47913485331
 01/01  09:00:00,1.33107112409,9.82444088678,0.0,8.34885258327,0.0,0.229871335755,0.229871335755,0.229871335755,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44707881393
 01/01  10:00:00,1.16191067231,9.65486580437,0.0,8.31125630798,0.0,0.228836186801,0.228836186801,0.228836186801,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31934561534
