Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.982409350032,9.95764830009,0.0,9.50179922928,0.0,0.261615744096,0.261615744096,0.261615744096,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427339581222
 01/01  02:00:00,0.866216708398,10.4218539649,0.0,10.0604970618,0.0,0.276998530623,0.276998530623,0.276998530623,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335107172888
 01/01  03:00:00,0.828409977958,10.8778305991,0.0,10.5426491613,0.0,0.290273761688,0.290273761688,0.290273761688,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309236052291
 01/01  04:00:00,0.82399491558,11.2197867261,0.0,10.8781466898,0.0,0.299511110681,0.299511110681,0.299511110681,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316059864454
 01/01  05:00:00,0.823759470972,11.3633812664,0.0,10.9488702471,0.0,0.301458362525,0.301458362525,0.301458362525,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389897141882
 01/01  06:00:00,0.881163070565,11.7466365331,0.0,11.0114739725,0.0,0.303182048724,0.303182048724,0.303182048724,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707695451634
 01/01  07:00:00,1.1262637968,12.9367028872,0.0,11.6002545068,0.0,0.319393110847,0.319393110847,0.319393110847,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30471283703
 01/01  08:00:00,1.45521415166,13.1154217511,0.0,11.6042852825,0.0,0.319504091344,0.319504091344,0.319504091344,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47741507606
 01/01  09:00:00,1.39567644198,12.1681811931,0.0,10.695296838,0.0,0.29447665364,0.29447665364,0.29447665364,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44437486555
 01/01  10:00:00,1.22400099915,11.9078195088,0.0,10.566356901,0.0,0.290926513636,0.290926513636,0.290926513636,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3171987267
 01/01  11:00:00,1.25112272478,12.8743522005,0.0,11.6890930381,0.0,0.32183912743,0.32183912743,0.32183912743,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16042463506
 01/01  12:00:00,1.23258342078,11.4060361811,0.0,10.3646812911,0.0,0.285373721635,0.285373721635,0.285373721635,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01651275405
 01/01  13:00:00,1.19242661386,10.5655028311,0.0,9.63359547591,0.0,0.265244527687,0.265244527687,0.265244527687,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.907483693142
 01/01  14:00:00,1.16195769731,10.3343799739,0.0,9.46979617132,0.0,0.260734594787,0.260734594787,0.260734594787,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.839315584014
 01/01  15:00:00,1.14941080956,9.84536133095,0.0,9.04351458824,0.0,0.248997662564,0.248997662564,0.248997662564,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775155712697
 01/01  16:00:00,1.22026359003,9.85933986579,0.0,9.04903853985,0.0,0.249149755096,0.249149755096,0.249149755096,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78212661553
 01/01  17:00:00,1.4803641434,9.80840581027,0.0,8.91037796887,0.0,0.245331974108,0.245331974108,0.245331974108,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.864702096973
 01/01  18:00:00,1.9595883883,9.58794439245,0.0,8.52018502404,0.0,0.234588680639,0.234588680639,0.234588680639,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02727391496
 01/01  19:00:00,2.32724352681,10.6037241264,0.0,9.37269734918,0.0,0.258061145265,0.258061145265,0.258061145265,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18707179421
 01/01  20:00:00,2.25496505446,9.28637538126,0.0,8.0205609852,0.0,0.220832389695,0.220832389695,0.220832389695,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2204442102
 01/01  21:00:00,2.09701063432,9.11608257703,0.0,7.93621065991,0.0,0.218509948168,0.218509948168,0.218509948168,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13294196468
 01/01  22:00:00,1.93116173858,9.22669123184,0.0,8.16344273168,0.0,0.224766393511,0.224766393511,0.224766393511,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01741418863
 01/01  23:00:00,1.59306892626,8.7393412809,0.0,7.86169747054,0.0,0.216458355305,0.216458355305,0.216458355305,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.837980087598
 01/01  24:00:00,1.26562433575,8.64021087175,0.0,7.96858653497,0.0,0.219401362356,0.219401362356,0.219401362356,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.63715729973
 01/02  01:00:00,0.93861183622,8.5887660253,0.0,8.14984173372,0.0,0.224391913361,0.224391913361,0.224391913361,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410414802001
 01/02  02:00:00,0.814076867236,8.66329581927,0.0,8.31014952886,0.0,0.228805713537,0.228805713537,0.228805713537,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326896560213
 01/02  03:00:00,0.766669574182,8.72464691215,0.0,8.39509699592,0.0,0.231144596339,0.231144596339,0.231144596339,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303604530727
 01/02  04:00:00,0.752094683324,8.65200507695,0.0,8.316344542,0.0,0.228976282598,0.228976282598,0.228976282598,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310080363092
 01/02  05:00:00,0.747572392492,8.6805245838,0.0,8.27879570083,0.0,0.227942439661,0.227942439661,0.227942439661,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377115005519
 01/02  06:00:00,0.802581733515,9.00350724142,0.0,8.30621577151,0.0,0.228697404275,0.228697404275,0.228697404275,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669824360907
 01/02  07:00:00,1.0176500664,9.28981425963,0.0,8.04135410795,0.0,0.221404892665,0.221404892665,0.221404892665,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2167246083
 01/02  08:00:00,1.34467111567,9.76117729108,0.0,8.35797178267,0.0,0.23012241727,0.23012241727,0.23012241727,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36948411587
 01/02  09:00:00,1.2878608947,9.31785133627,0.0,7.9575833039,0.0,0.219098407261,0.219098407261,0.219098407261,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33175854279
 01/02  10:00:00,1.11010715541,9.30221478457,0.0,8.06528280744,0.0,0.222063728363,0.222063728363,0.222063728363,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21266809609
 01/02  11:00:00,1.10239407631,9.23224270737,0.0,8.13657760238,0.0,0.224026708255,0.224026708255,0.224026708255,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07083057763
 01/02  12:00:00,1.15917280382,10.5729101842,0.0,9.60480619409,0.0,0.264451864192,0.264451864192,0.264451864192,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943261854116
 01/02  13:00:00,1.08099420007,8.18973481531,0.0,7.32286836113,0.0,0.201622619988,0.201622619988,0.201622619988,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.842442792162
 01/02  14:00:00,1.0312186961,7.11359719635,0.0,6.30450116941,0.0,0.173583626089,0.173583626089,0.173583626089,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.783827808395
 01/02  15:00:00,1.02458893812,6.68359256144,0.0,5.93105270963,0.0,0.163301363295,0.163301363295,0.163301363295,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.725848821799
 01/02  16:00:00,1.1016153838,6.84734299438,0.0,6.08574396638,0.0,0.16756052172,0.16756052172,0.16756052172,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733424317581
 01/02  17:00:00,1.37986520023,7.40278581776,0.0,6.56481606329,0.0,0.180750950194,0.180750950194,0.180750950194,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804644010038
 01/02  18:00:00,1.9212647535,9.40759612773,0.0,8.41225367429,0.0,0.23161697605,0.23161697605,0.23161697605,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954856999985
 01/02  19:00:00,2.23788670076,8.5080806362,0.0,7.37342588745,0.0,0.203014634758,0.203014634758,0.203014634758,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09069976573
 01/02  20:00:00,2.20819182658,8.72413012285,0.0,7.56553087196,0.0,0.208303916004,0.208303916004,0.208303916004,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11322906504
 01/02  21:00:00,2.06598963168,9.15422242888,0.0,8.0754736545,0.0,0.222344315857,0.222344315857,0.222344315857,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03181882194
 01/02  22:00:00,1.90953953102,9.64878410183,0.0,8.67136069415,0.0,0.238751043416,0.238751043416,0.238751043416,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.931589096163
 01/02  23:00:00,1.60632387723,10.180450423,0.0,9.37071331183,0.0,0.2580065182,0.2580065182,0.2580065182,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.770073388382
 01/02  24:00:00,1.31005628831,10.7759234031,0.0,10.1465612435,0.0,0.279368160248,0.279368160248,0.279368160248,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.59489512255
