Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.922687386144,7.78904116121,0.0,7.33271681263,0.0,0.201893780208,0.201893780208,0.201893780208,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427814859
 01/01  02:00:00,0.803567015557,8.14798971091,0.0,7.78508047624,0.0,0.214348837782,0.214348837782,0.214348837782,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336659504468
 01/01  03:00:00,0.760087403743,8.39835181667,0.0,8.06119535869,0.0,0.221951187472,0.221951187472,0.221951187472,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311211072466
 01/01  04:00:00,0.753218097402,8.65124230441,0.0,8.30755554002,0.0,0.228734292503,0.228734292503,0.228734292503,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318106592522
 01/01  05:00:00,0.752659960716,8.78320065695,0.0,8.36655902539,0.0,0.230358852269,0.230358852269,0.230358852269,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392027754108
 01/01  06:00:00,0.81680418254,9.41158796324,0.0,8.67397997058,0.0,0.2388231607,0.2388231607,0.2388231607,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710140883665
 01/01  07:00:00,1.06705884229,10.7889310527,0.0,9.44994970367,0.0,0.260188156341,0.260188156341,0.260188156341,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30724580566
 01/01  08:00:00,1.37884117591,10.3437017351,0.0,8.83044349899,0.0,0.243131115585,0.243131115585,0.243131115585,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47953684353
 01/01  09:00:00,1.35169631598,10.5738089194,0.0,9.09795288325,0.0,0.250496527643,0.250496527643,0.250496527643,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44734654653
 01/01  10:00:00,1.18224116607,10.3934838762,0.0,9.04965326732,0.0,0.249166680563,0.249166680563,0.249166680563,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31956672779
 01/01  11:00:00,1.21620401459,11.6083190613,0.0,10.4208567753,0.0,0.286920417239,0.286920417239,0.286920417239,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16262775859
 01/01  12:00:00,1.19998050172,10.2238214683,0.0,9.18055381311,0.0,0.252770802568,0.252770802568,0.252770802568,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01842551924
 01/01  13:00:00,1.1588517933,9.34772744722,0.0,8.41416885,0.0,0.231669707128,0.231669707128,0.231669707128,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.909134935204
 01/01  14:00:00,1.12137016718,8.86221093218,0.0,7.99567020163,0.0,0.220147064663,0.220147064663,0.220147064663,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841272511994
 01/01  15:00:00,1.09856450967,8.00073568089,0.0,7.19679341806,0.0,0.198151362677,0.198151362677,0.198151362677,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777251232817
 01/01  16:00:00,1.16913628575,8.00472393356,0.0,7.19211138121,0.0,0.198022450823,0.198022450823,0.198022450823,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784437841929
 01/01  17:00:00,1.43154795499,8.03762905105,0.0,7.13738979126,0.0,0.196515785704,0.196515785704,0.196515785704,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866913515354
