Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.909197676768,7.30096729505,0.0,6.84277493013,0.0,0.188404070832,0.188404070832,0.188404070832,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429682875331
 01/01  02:00:00,0.79381940634,7.79551912789,0.0,7.43105046148,0.0,0.204601228565,0.204601228565,0.204601228565,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338218936204
 01/01  03:00:00,0.739790119275,7.66193433409,0.0,7.32400455015,0.0,0.201653903004,0.201653903004,0.201653903004,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311984398439
 01/01  04:00:00,0.725859262836,7.65796843604,0.0,7.31389151537,0.0,0.201375457938,0.201375457938,0.201375457938,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318496748808
 01/01  05:00:00,0.723488592638,7.7246378144,0.0,7.30706436966,0.0,0.201187484191,0.201187484191,0.201187484191,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392959567287
 01/01  06:00:00,0.775752704227,7.92151463627,0.0,7.18300355267,0.0,0.197771682386,0.197771682386,0.197771682386,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711043974598
 01/01  07:00:00,1.01389247743,8.85903354492,0.0,7.51896452378,0.0,0.207021791479,0.207021791479,0.207021791479,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30833347775
 01/01  08:00:00,1.32502629826,8.39066965951,0.0,6.87590454471,0.0,0.189316237945,0.189316237945,0.189316237945,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48104372226
 01/01  09:00:00,1.29353717111,8.46301311931,0.0,6.98563154783,0.0,0.19233738277,0.19233738277,0.19233738277,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4488720819
 01/01  10:00:00,1.12336993427,8.25763654385,0.0,6.91146916481,0.0,0.190295448758,0.190295448758,0.190295448758,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32190349799
 01/01  11:00:00,1.13938463318,8.82049407875,0.0,7.63080168307,0.0,0.210101035834,0.210101035834,0.210101035834,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16485786833
 01/01  12:00:00,1.11566268421,7.16388404954,0.0,6.11815794652,0.0,0.168452985066,0.168452985066,0.168452985066,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02088396705
 01/01  13:00:00,1.07747327356,6.39516812799,0.0,5.45852732782,0.0,0.150291187392,0.150291187392,0.150291187392,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912217138159
 01/01  14:00:00,1.05153538755,6.32868227146,0.0,5.45929358703,0.0,0.150312285025,0.150312285025,0.150312285025,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84412046588
