Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.940486204348,8.43840471536,0.0,7.97916413433,0.0,0.219692598411,0.219692598411,0.219692598411,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430731091442
 01/01  02:00:00,0.829846309343,9.10377232395,0.0,8.73953592886,0.0,0.240628131568,0.240628131568,0.240628131568,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337986664878
 01/01  03:00:00,0.788241453248,9.42153337978,0.0,9.08374133278,0.0,0.250105236977,0.250105236977,0.250105236977,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311846661489
 01/01  04:00:00,0.781046776926,9.66237876561,0.0,9.31828418162,0.0,0.256562972027,0.256562972027,0.256562972027,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318514412117
 01/01  05:00:00,0.7838018388,9.91429507261,0.0,9.49762196734,0.0,0.261500730353,0.261500730353,0.261500730353,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392059227826
 01/01  06:00:00,0.837509945597,10.1631871698,0.0,9.42600658938,0.0,0.259528923757,0.259528923757,0.259528923757,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709713471465
 01/01  07:00:00,1.07493856971,11.0744359992,0.0,9.73613885561,0.0,0.268067883762,0.268067883762,0.268067883762,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30656160022
 01/01  08:00:00,1.38034199956,10.3977301134,0.0,8.88495292868,0.0,0.244631939236,0.244631939236,0.244631939236,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47905579217
 01/01  09:00:00,1.32323427116,9.53959039843,0.0,8.0642206188,0.0,0.22203448282,0.22203448282,0.22203448282,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44686029004
 01/01  10:00:00,1.14435962206,9.01790042477,0.0,7.67380783834,0.0,0.211285136555,0.211285136555,0.211285136555,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31982870538
 01/01  11:00:00,1.15559116957,9.40746087988,0.0,8.21941784411,0.0,0.226307572222,0.226307572222,0.226307572222,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16320850841
 01/01  12:00:00,1.12349091026,7.44668491185,0.0,6.40247658509,0.0,0.17628121111,0.17628121111,0.17628121111,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01936619079
 01/01  13:00:00,1.0706817717,6.1471347287,0.0,5.21186217642,0.0,0.143499685534,0.143499685534,0.143499685534,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910848890267
 01/01  14:00:00,1.02292669671,5.28920519779,0.0,4.42023518666,0.0,0.121703594186,0.121703594186,0.121703594186,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843701792584
 01/01  15:00:00,1.01783655684,5.07123890015,0.0,4.26478027526,0.0,0.11742340984,0.11742340984,0.11742340984,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779767594873
 01/01  16:00:00,1.09392864847,5.27607933992,0.0,4.46059431444,0.0,0.122814813544,0.122814813544,0.122814813544,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787310315063
 01/01  17:00:00,1.37082883316,5.83496746238,0.0,4.93209092059,0.0,0.135796663874,0.135796663874,0.135796663874,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86955079736
 01/01  18:00:00,1.88083856777,6.73236529194,0.0,5.66001700702,0.0,0.15583886011,0.15583886011,0.15583886011,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03186283147
