Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.02600276275,11.5372504921,0.0,11.0850978829,0.0,0.305209156817,0.305209156817,0.305209156817,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42364311955
 01/01  02:00:00,0.896309512224,11.5122888536,0.0,11.1534579659,0.0,0.307091334449,0.307091334449,0.307091334449,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332581157442
 01/01  03:00:00,0.848296788596,11.5984883579,0.0,11.2649316931,0.0,0.310160572325,0.310160572325,0.310160572325,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307611279284
 01/01  04:00:00,0.838926875627,11.7607065642,0.0,11.4204706503,0.0,0.314443070728,0.314443070728,0.314443070728,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314655742029
 01/01  05:00:00,0.837593271772,11.8646151512,0.0,11.4513094188,0.0,0.315292163325,0.315292163325,0.315292163325,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388691854935
 01/01  06:00:00,0.892902502124,12.171847709,0.0,11.4378463307,0.0,0.314921480284,0.314921480284,0.314921480284,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706534269286
 01/01  07:00:00,1.11948862485,12.6896702309,0.0,11.3541824524,0.0,0.312617938897,0.312617938897,0.312617938897,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3037522351
 01/01  08:00:00,1.47045296371,13.6680724361,0.0,12.1577540083,0.0,0.334742903388,0.334742903388,0.334742903388,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47659703527
 01/01  09:00:00,1.4111628268,12.7303406479,0.0,11.2577573272,0.0,0.309963038467,0.309963038467,0.309963038467,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44407383103
 01/01  10:00:00,1.24370531071,12.6227828835,0.0,11.2820111256,0.0,0.310630825203,0.310630825203,0.310630825203,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31650787689
