Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.929174579529,8.02556356821,0.0,7.56832957864,0.0,0.208380973592,0.208380973592,0.208380973592,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428724499987
 01/01  02:00:00,0.808766336162,8.3374089909,0.0,7.97391811935,0.0,0.219548158387,0.219548158387,0.219548158387,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337241141348
 01/01  03:00:00,0.766824131873,8.64334453805,0.0,8.30587114596,0.0,0.228687915602,0.228687915602,0.228687915602,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311528006582
 01/01  04:00:00,0.751048517483,8.57253122245,0.0,8.22875709891,0.0,0.226564712584,0.226564712584,0.226564712584,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318193951675
 01/01  05:00:00,0.745818336701,8.53472968673,0.0,8.11807345347,0.0,0.223517228254,0.223517228254,0.223517228254,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392042355808
 01/01  06:00:00,0.801623126527,8.86012078809,0.0,8.12260892514,0.0,0.223642104687,0.223642104687,0.223642104687,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710044753961
 01/01  07:00:00,1.01705318485,8.97283567327,0.0,7.63376039527,0.0,0.2101824989,0.2101824989,0.2101824989,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30733973461
 01/01  08:00:00,1.35139778107,9.3474014277,0.0,7.83370827275,0.0,0.215687720752,0.215687720752,0.215687720752,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47997176241
 01/01  09:00:00,1.30365759867,8.82963744834,0.0,7.35320220457,0.0,0.202457810338,0.202457810338,0.202457810338,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44792575418
 01/01  10:00:00,1.13424461233,8.65115908978,0.0,7.30643395554,0.0,0.201170126819,0.201170126819,0.201170126819,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32046125319
 01/01  11:00:00,1.16373710242,9.70407704217,0.0,8.51527549123,0.0,0.234453505074,0.234453505074,0.234453505074,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16396702358
 01/01  12:00:00,1.15260625831,8.50458776481,0.0,7.45993661167,0.0,0.205396559165,0.205396559165,0.205396559165,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01980901717
 01/01  13:00:00,1.12628554502,8.16631566595,0.0,7.23137324329,0.0,0.199103458853,0.199103458853,0.199103458853,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910518760645
 01/01  14:00:00,1.0980375489,8.01601765844,0.0,7.14823705051,0.0,0.196814446382,0.196814446382,0.196814446382,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842512389375
 01/01  15:00:00,1.0959746264,7.90767181074,0.0,7.10272969484,0.0,0.195561479399,0.195561479399,0.195561479399,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778251085876
 01/01  16:00:00,1.16587176829,7.88680456538,0.0,7.0735451626,0.0,0.194757933361,0.194757933361,0.194757933361,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785084692358
 01/01  17:00:00,1.42639850614,7.85098981291,0.0,6.95036347428,0.0,0.191366336857,0.191366336857,0.191366336857,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867300594197
 01/01  18:00:00,1.9451445374,9.0661660335,0.0,7.99558902977,0.0,0.220144829735,0.220144829735,0.220144829735,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03009155028
 01/01  19:00:00,2.25131708226,7.8480632219,0.0,6.61507343493,0.0,0.18213470072,0.18213470072,0.18213470072,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18903480397
 01/01  20:00:00,2.20888208604,7.61471567142,0.0,6.34684247355,0.0,0.174749421274,0.174749421274,0.174749421274,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22250301202
 01/01  21:00:00,2.053378187,7.53551236489,0.0,6.35149428247,0.0,0.174877500853,0.174877500853,0.174877500853,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13708812998
