Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.93989277555,8.32298917718,0.0,7.8642438931,0.0,0.219099169613,0.219099169613,0.219099169613,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430235794491
 01/01  02:00:00,0.822864654004,8.76152817401,0.0,8.39773581918,0.0,0.23364647623,0.23364647623,0.23364647623,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337542624633
 01/01  03:00:00,0.781573919356,9.08711132044,0.0,8.74939663676,0.0,0.243437703085,0.243437703085,0.243437703085,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311769298177
 01/01  04:00:00,0.772288792295,9.24864893967,0.0,8.9046046165,0.0,0.247804987396,0.247804987396,0.247804987396,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318464151302
 01/01  05:00:00,0.77030525581,9.33196082128,0.0,8.91522207136,0.0,0.248004147363,0.248004147363,0.248004147363,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392124872471
 01/01  06:00:00,0.827114455334,9.69345913879,0.0,8.95632336484,0.0,0.249133433494,0.249133433494,0.249133433494,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709668664957
 01/01  07:00:00,1.067164914,10.6911610506,0.0,9.35247237204,0.0,0.260294228045,0.260294228045,0.260294228045,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30695313521
 01/01  08:00:00,1.3926006975,10.7409261471,0.0,9.22762725503,0.0,0.256890637178,0.256890637178,0.256890637178,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47957749948
 01/01  09:00:00,1.33084996159,9.7390166414,0.0,8.26373045625,0.0,0.229650173256,0.229650173256,0.229650173256,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44677669556
 01/01  10:00:00,1.12904268249,8.40302050367,0.0,7.05903679921,0.0,0.195968196984,0.195968196984,0.195968196984,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31971982341
 01/01  11:00:00,1.13082478113,8.43487149167,0.0,7.24621809185,0.0,0.20154118378,0.20154118378,0.20154118378,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16381887247
 01/01  12:00:00,1.0914359835,6.25491249961,0.0,5.20985040702,0.0,0.144226284354,0.144226284354,0.144226284354,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02021995661
 01/01  13:00:00,1.04531029655,5.20081044505,0.0,4.26420995641,0.0,0.118128210383,0.118128210383,0.118128210383,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912176826628
 01/01  14:00:00,0.998194381928,4.37185820465,0.0,3.50164318586,0.0,0.0969712794061,0.0969712794061,0.0969712794061,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844946800243
 01/01  15:00:00,0.983436600693,3.80580466672,0.0,2.99803505983,0.0,0.0830234536964,0.0830234536964,0.0830234536964,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781078576881
 01/01  16:00:00,1.05455824027,3.82966863583,0.0,3.01316146676,0.0,0.0834444053354,0.0834444053354,0.0834444053354,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788332458654
 01/01  17:00:00,1.32885190775,4.28000767805,0.0,3.37549533585,0.0,0.0938197384627,0.0938197384627,0.0938197384627,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871186597773
 01/01  18:00:00,1.86038635381,5.93020865983,0.0,4.85583044431,0.0,0.135386646145,0.135386646145,0.135386646145,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03389276207
 01/01  19:00:00,2.18434688244,5.38815272433,0.0,4.15210665696,0.0,0.115164500902,0.115164500902,0.115164500902,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19209108436
 01/01  20:00:00,2.15625546889,5.66753528511,0.0,4.39626021924,0.0,0.122122804122,0.122122804122,0.122122804122,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22590488001
 01/01  21:00:00,2.0133944279,6.03801734048,0.0,4.85204282892,0.0,0.134893741746,0.134893741746,0.134893741746,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13904455913
 01/01  22:00:00,1.855198141,6.41896700704,0.0,5.35071954115,0.0,0.148802795928,0.148802795928,0.148802795928,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02241315437
 01/01  23:00:00,1.5417899642,6.8197420583,0.0,5.93816675363,0.0,0.165179393248,0.165179393248,0.165179393248,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841911581902
 01/01  24:00:00,1.22460736481,7.08869951539,0.0,6.41309370088,0.0,0.178384391411,0.178384391411,0.178384391411,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641138777456
 01/02  01:00:00,0.906322562541,7.34897238084,0.0,6.90689841945,0.0,0.192102639682,0.192102639682,0.192102639682,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.4135644718
 01/02  02:00:00,0.791377548472,7.76343998507,0.0,7.4078216895,0.0,0.206106394773,0.206106394773,0.206106394773,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329368565376
 01/02  03:00:00,0.74978440863,8.03384449644,0.0,7.702030799,0.0,0.214259430786,0.214259430786,0.214259430786,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30586831194
 01/02  04:00:00,0.741901424199,8.20341203977,0.0,7.86563782265,0.0,0.218783023473,0.218783023473,0.218783023473,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312194045259
 01/02  05:00:00,0.748571276689,8.63229250495,0.0,8.22846932181,0.0,0.228941323857,0.228941323857,0.228941323857,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379209305698
 01/02  06:00:00,0.804991119952,9.00737371392,0.0,8.30829443803,0.0,0.231106790712,0.231106790712,0.231106790712,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671612166893
 01/02  07:00:00,1.03987712405,10.0067043353,0.0,8.75670243872,0.0,0.243631950319,0.243631950319,0.243631950319,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21826635319
 01/02  08:00:00,1.3426471216,9.60900044205,0.0,8.2044927386,0.0,0.228098423201,0.228098423201,0.228098423201,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37078631091
 01/02  09:00:00,1.2732907093,8.7259467599,0.0,7.3646406307,0.0,0.204528221852,0.204528221852,0.204528221852,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33279663961
 01/02  10:00:00,1.06515372032,7.62057628735,0.0,6.38219326122,0.0,0.17711029328,0.17711029328,0.17711029328,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21411914508
 01/02  11:00:00,1.05497840233,7.45204582981,0.0,6.3547873808,0.0,0.176611034274,0.176611034274,0.176611034274,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07242392166
 01/02  12:00:00,1.03779837782,6.12981148792,0.0,5.16045099778,0.0,0.143077438192,0.143077438192,0.143077438192,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944518354167
 01/02  13:00:00,1.00407402278,5.36705913963,0.0,4.49661848697,0.0,0.124702442704,0.124702442704,0.124702442704,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.846016990645
 01/02  14:00:00,0.955886785091,4.36153522733,0.0,3.54904588316,0.0,0.0982517150835,0.0982517150835,0.0982517150835,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787221125619
 01/02  15:00:00,0.941445003637,3.65291504296,0.0,2.89701993972,0.0,0.0801574288153,0.0801574288153,0.0801574288153,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729204073231
 01/02  16:00:00,1.01830653183,3.80997426071,0.0,3.0451494944,0.0,0.084251669758,0.084251669758,0.084251669758,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736650055893
 01/02  17:00:00,1.28978989803,4.10557683059,0.0,3.2641123463,0.0,0.0906756479927,0.0906756479927,0.0906756479927,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808138739853
 01/02  18:00:00,1.81101447963,5.35686272636,0.0,4.35794817866,0.0,0.121366702181,0.121366702181,0.121366702181,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958429094242
 01/02  19:00:00,2.13658395193,4.80857941049,0.0,3.66953635271,0.0,0.101711885924,0.101711885924,0.101711885924,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09508807477
 01/02  20:00:00,2.10932875769,5.10452984939,0.0,3.94162119196,0.0,0.109440847117,0.109440847117,0.109440847117,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11753847158
 01/02  21:00:00,1.97029270305,5.63843026092,0.0,4.55541262827,0.0,0.126647387229,0.126647387229,0.126647387229,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03608768022
 01/02  22:00:00,1.80646194658,5.86378807506,0.0,4.88230139132,0.0,0.135673458974,0.135673458974,0.135673458974,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935652372217
