Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.946828262054,3.10163202241,0.0,3.07366464404,0.0,0.0852035752854,0.0852035752854,0.0852035752854,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.77473184668,3.68475416452,0.0,3.65900357595,0.0,0.100766774568,0.100766774568,0.100766774568,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844175627
 01/01  03:00:00,0.71942358715,4.09785879045,0.0,4.07240675942,0.0,0.111494891618,0.111494891618,0.111494891618,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417474617
 01/01  04:00:00,0.71976448316,4.45402330329,0.0,4.42892954132,0.0,0.120721740434,0.120721740434,0.120721740434,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072657359
 01/01  05:00:00,0.773859132138,4.72076869753,0.0,4.69662285578,0.0,0.127702086229,0.127702086229,0.127702086229,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137194183
 01/01  06:00:00,1.0431229277,4.84337198629,0.0,4.81642716752,0.0,0.130576649118,0.130576649118,0.130576649118,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635109494
 01/01  07:00:00,1.65883979318,4.7240678608,0.0,4.69293577241,0.0,0.127046865402,0.127046865402,0.127046865402,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.74338525435
 01/01  08:00:00,2.09837535018,5.03469508233,0.0,5.00161490594,0.0,0.135039642693,0.135039642693,0.135039642693,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.8562622557
 01/01  09:00:00,2.03021200107,4.55416014757,0.0,4.5261927692,0.0,0.122099768855,0.122099768855,0.122099768855,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488222
 01/01  10:00:00,1.78286805941,4.42211736032,0.0,4.39831485975,0.0,0.118762834619,0.118762834619,0.118762834619,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.68133340262,4.59269843521,0.0,4.56833613924,0.0,0.124042793102,0.124042793102,0.124042793102,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.575164704,3.51630075715,0.0,3.49193099724,0.0,0.0946423802969,0.0946423802969,0.0946423802969,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266163041
 01/01  13:00:00,1.46612677706,2.88454822099,0.0,2.8605889777,0.0,0.078032401868,0.078032401868,0.078032401868,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750166762
 01/01  14:00:00,1.38712039544,2.56932747223,0.0,2.54453973175,0.0,0.070040599112,0.070040599112,0.070040599112,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995968
 01/01  15:00:00,1.31863802712,1.67959915324,0.0,1.65341565622,0.0,0.045574125254,0.045574125254,0.045574125254,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433953
 01/01  16:00:00,1.38171429377,1.31013607667,0.0,1.2824971116,0.0,0.0355533095765,0.0355533095765,0.0355533095765,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328056058
