Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.985653961377,4.95700621973,0.0,4.92903884135,0.0,0.124029274609,0.124029274609,0.124029274609,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.799560013539,4.97463220874,0.0,4.94888162017,0.0,0.125594948843,0.125594948843,0.125594948843,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.730932291335,4.84923116385,0.0,4.82377913283,0.0,0.123003597739,0.123003597739,0.123003597739,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.718450791626,4.69578459074,0.0,4.67069082877,0.0,0.119408059281,0.119408059281,0.119408059281,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.764362319567,4.63820288493,0.0,4.61405704318,0.0,0.118205279167,0.118205279167,0.118205279167,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.02731983759,4.4994704732,0.0,4.47252565443,0.0,0.114773619538,0.114773619538,0.114773619538,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.34663504896
 01/01  07:00:00,1.63810198512,4.17252152603,0.0,4.14138943763,0.0,0.10630906435,0.10630906435,0.10630906435,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385247337
 01/01  08:00:00,2.0752244894,4.39497797785,0.0,4.36189780145,0.0,0.111888782364,0.111888782364,0.111888782364,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255247
 01/01  09:00:00,2.01043359518,4.00096916389,0.0,3.97300178551,0.0,0.102321362987,0.102321362987,0.102321362987,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488198
 01/01  10:00:00,1.76715911649,4.03552768348,0.0,4.01172518291,0.0,0.10305389169,0.10305389169,0.10305389169,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6923277216,5.25371032248,0.0,5.22934802651,0.0,0.135037089289,0.135037089289,0.135037089289,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958470525
 01/01  12:00:00,1.62738307144,5.68735542953,0.0,5.66298566961,0.0,0.146860749444,0.146860749444,0.146860749444,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266161336
 01/01  13:00:00,1.5056876,4.60411723644,0.0,4.58015799316,0.0,0.117593226155,0.117593226155,0.117593226155,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165411
 01/01  14:00:00,1.43468728281,4.60952393569,0.0,4.58473619521,0.0,0.117607486482,0.117607486482,0.117607486482,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995967
 01/01  15:00:00,1.39214250755,4.65901416001,0.0,4.63283066299,0.0,0.119078606013,0.119078606013,0.119078606013,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.46745466097,4.75037897128,0.0,4.72274000621,0.0,0.121293676844,0.121293676844,0.121293676844,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.77967983795,4.83826599577,0.0,4.80557394418,0.0,0.123254878945,0.123254878945,0.123254878945,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.39434137213,6.08902998235,0.0,6.04931436444,0.0,0.155599342274,0.155599342274,0.155599342274,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.79765104875,4.89934809634,0.0,4.85622892236,0.0,0.123477041783,0.123477041783,0.123477041783,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.7769372647,4.71158529572,0.0,4.66707782915,0.0,0.118229459899,0.118229459899,0.118229459899,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909686347
 01/01  21:00:00,2.57607892269,4.96547596484,0.0,4.91943839083,0.0,0.125027568048,0.125027568048,0.125027568048,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498782463
 01/01  22:00:00,2.33862367385,5.18311432833,0.0,5.1381515615,0.0,0.130601577537,0.130601577537,0.130601577537,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045443029
 01/01  23:00:00,1.90847609676,5.50421594888,0.0,5.46530643634,0.0,0.138794528726,0.138794528726,0.138794528726,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614383
 01/01  24:00:00,1.46570833295,5.90261896088,0.0,5.86880731849,0.0,0.149051215417,0.149051215417,0.149051215417,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805551
 01/02  01:00:00,1.00366564695,6.29494076743,0.0,6.26697338905,0.0,0.159178827185,0.159178827185,0.159178827185,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281595
 01/02  02:00:00,0.833456319489,6.68967974821,0.0,6.66392915964,0.0,0.168997973382,0.168997973382,0.168997973382,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.778064781897,7.01168990088,0.0,6.98623786985,0.0,0.176826242961,0.176826242961,0.176826242961,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.779924969597,7.412148442,0.0,7.38705468003,0.0,0.186626368218,0.186626368218,0.186626368218,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817285285612
 01/02  05:00:00,0.826626975243,7.64331034689,0.0,7.61916450514,0.0,0.192095544536,0.192095544536,0.192095544536,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182734597
 01/02  06:00:00,1.07870124602,7.82069448451,0.0,7.79374966574,0.0,0.196012212818,0.196012212818,0.196012212818,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874556708
 01/02  07:00:00,1.67747757838,8.59063218083,0.0,8.55950009244,0.0,0.215388156759,0.215388156759,0.215388156759,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307260407
 01/02  08:00:00,2.08545524391,8.57298929937,0.0,8.53990912297,0.0,0.215205926394,0.215205926394,0.215205926394,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337227654
 01/02  09:00:00,1.98728821618,7.53606277176,0.0,7.50809539338,0.0,0.186882057965,0.186882057965,0.186882057965,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037715118
 01/02  10:00:00,1.70959817669,6.4440348462,0.0,6.42023234563,0.0,0.159916540829,0.159916540829,0.159916540829,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.67803615121
 01/02  11:00:00,1.60638670321,6.35942864259,0.0,6.33506634662,0.0,0.159625375221,0.159625375221,0.159625375221,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.58334539549
 01/02  12:00:00,1.47797876568,4.00371189401,0.0,3.97934213409,0.0,0.0994234863691,0.0994234863691,0.0994234863691,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787878172
