Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.936317670039,8.28650839327,0.0,7.8277643162,0.0,0.215524064103,0.215524064103,0.215524064103,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430234587486
 01/01  02:00:00,0.820008527552,8.74636784914,0.0,8.38223087536,0.0,0.230790349777,0.230790349777,0.230790349777,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337887243578
 01/01  03:00:00,0.778760626188,9.07746027904,0.0,8.73940075968,0.0,0.240624409917,0.240624409917,0.240624409917,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312114133857
 01/01  04:00:00,0.773484218846,9.38803653705,0.0,9.0436145176,0.0,0.249000413947,0.249000413947,0.249000413947,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318841847584
 01/01  05:00:00,0.777885449967,9.7001112699,0.0,9.28274063807,0.0,0.25558434152,0.25558434152,0.25558434152,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392756754381
 01/01  06:00:00,0.834661377812,10.060253258,0.0,9.32254752855,0.0,0.256680355972,0.256680355972,0.256680355972,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710238620505
 01/01  07:00:00,1.05893474661,10.4939498871,0.0,9.15488517533,0.0,0.252064060654,0.252064060654,0.252064060654,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30732916843
 01/01  08:00:00,1.40527601893,11.304286309,0.0,9.79054844967,0.0,0.26956595861,0.26956595861,0.26956595861,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48001646677
 01/01  09:00:00,1.33932178261,10.1241971936,0.0,8.64851383269,0.0,0.238121994273,0.238121994273,0.238121994273,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44717387133
 01/01  10:00:00,1.1381211736,8.79159781982,0.0,7.44722940748,0.0,0.205046688093,0.205046688093,0.205046688093,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32010453129
 01/01  11:00:00,1.13190737611,8.54805924804,0.0,7.35923012418,0.0,0.202623778765,0.202623778765,0.202623778765,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16399459651
 01/01  12:00:00,1.0829466418,5.97515711047,0.0,4.92992186521,0.0,0.135736942655,0.135736942655,0.135736942655,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02039310928
 01/01  13:00:00,1.03192493717,4.74128988634,0.0,3.80422647853,0.0,0.104742850998,0.104742850998,0.104742850998,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912639745793
 01/01  14:00:00,0.984363438712,3.89051102245,0.0,3.01963012611,0.0,0.0831403361902,0.0831403361902,0.0831403361902,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84561267779
 01/01  15:00:00,0.972500886682,3.42672014283,0.0,2.61820339503,0.0,0.0720877396854,0.0720877396854,0.0720877396854,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.78182571779
 01/01  16:00:00,1.0434308106,3.4438780034,0.0,2.62652917185,0.0,0.0723169756698,0.0723169756698,0.0723169756698,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789174121133
 01/01  17:00:00,1.31553473552,3.82890001464,0.0,2.92382717422,0.0,0.0805025662333,0.0805025662333,0.0805025662333,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.871747095989
 01/01  18:00:00,1.84096274615,5.2867043574,0.0,4.21174005995,0.0,0.115963038487,0.115963038487,0.115963038487,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.034478844
 01/01  19:00:00,2.16786612264,4.82114013229,0.0,3.58416156608,0.0,0.0986837410939,0.0986837410939,0.0986837410939,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1930235832
 01/01  20:00:00,2.14402122466,5.26339159817,0.0,3.99111696156,0.0,0.10988855989,0.10988855989,0.10988855989,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22690445075
 01/01  21:00:00,2.00903807363,5.92844280748,0.0,4.74107570239,0.0,0.130537387474,0.130537387474,0.130537387474,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.14043715266
 01/01  22:00:00,1.85394088999,6.42787043547,0.0,5.35880648086,0.0,0.147545544915,0.147545544915,0.147545544915,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02322964309
 01/01  23:00:00,1.54063696928,6.83953495724,0.0,5.95738574768,0.0,0.164026398331,0.164026398331,0.164026398331,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84248548679
 01/01  24:00:00,1.23208653426,7.42644677295,0.0,6.75050442961,0.0,0.185863560864,0.185863560864,0.185863560864,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.641475306291
 01/02  01:00:00,0.918951002171,7.8783664277,0.0,7.43576659858,0.0,0.204731079311,0.204731079311,0.204731079311,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414090339533
 01/02  02:00:00,0.80442053096,8.31518283556,0.0,7.9594345178,0.0,0.219149377261,0.219149377261,0.219149377261,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329498587561
 01/02  03:00:00,0.764905002795,8.66306509178,0.0,8.33100833373,0.0,0.229380024951,0.229380024951,0.229380024951,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306111372544
 01/02  04:00:00,0.761498260786,8.99566553609,0.0,8.65787943464,0.0,0.238379860059,0.238379860059,0.238379860059,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312205929587
 01/02  05:00:00,0.765665228258,9.33969043291,0.0,8.93592164534,0.0,0.246035275427,0.246035275427,0.246035275427,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379154910117
 01/02  06:00:00,0.823303384149,9.75799134422,0.0,9.05881942194,0.0,0.249419054909,0.249419054909,0.249419054909,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671704813276
 01/02  07:00:00,1.06198450562,10.9015632198,0.0,9.6515666043,0.0,0.265739331883,0.265739331883,0.265739331883,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21826107214
 01/02  08:00:00,1.35658425461,10.1948254901,0.0,8.79065313667,0.0,0.242035556208,0.242035556208,0.242035556208,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37045096089
 01/02  09:00:00,1.30152961624,9.81536201055,0.0,8.45402685004,0.0,0.232767128794,0.232767128794,0.232767128794,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33282567093
 01/02  10:00:00,1.11541329861,9.49625313241,0.0,8.25800021283,0.0,0.227369871567,0.227369871567,0.227369871567,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21398903853
 01/02  11:00:00,1.11887082416,9.83165500545,0.0,8.73500775636,0.0,0.240503456105,0.240503456105,0.240503456105,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07181272173
 01/02  12:00:00,1.09103728664,8.09820095907,0.0,7.13014624233,0.0,0.196316347008,0.196316347008,0.196316347008,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943212580764
 01/02  13:00:00,1.0563029862,7.29519027994,0.0,6.42609145759,0.0,0.17693140612,0.17693140612,0.17693140612,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844675160341
 01/02  14:00:00,1.02137465888,6.75777650405,0.0,5.94696892097,0.0,0.163739588875,0.163739588875,0.163739588875,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785539364534
 01/02  15:00:00,1.01515512255,6.34201626907,0.0,5.58841957883,0.0,0.15386754773,0.15386754773,0.15386754773,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726905660232
 01/02  16:00:00,1.08236274656,6.14905291488,0.0,5.38649440749,0.0,0.148307884483,0.148307884483,0.148307884483,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.734383796972
 01/02  17:00:00,1.34360419644,6.08652981545,0.0,5.24782813083,0.0,0.144489946399,0.144489946399,0.144489946399,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.805375940189
 01/02  18:00:00,1.85587293393,7.03387589157,0.0,6.03724393265,0.0,0.16622515648,0.16622515648,0.16622515648,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956146505466
 01/02  19:00:00,2.16848704026,5.99012336582,0.0,4.85285265906,0.0,0.133614974254,0.133614974254,0.133614974254,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09331572375
 01/02  20:00:00,2.13014283423,5.89204913732,0.0,4.73081670802,0.0,0.130254923661,0.130254923661,0.130254923661,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11586224344
 01/02  21:00:00,1.98119445849,6.07742245392,0.0,4.99574038347,0.0,0.137549142662,0.137549142662,0.137549142662,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03475211802
 01/02  22:00:00,1.81511861817,6.22276653462,0.0,5.24202367133,0.0,0.144330130562,0.144330130562,0.144330130562,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.934908551773
 01/02  23:00:00,1.49983209286,6.31618545361,0.0,5.50296613887,0.0,0.151514733832,0.151514733832,0.151514733832,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773555591981
 01/02  24:00:00,1.19675646245,6.66464513924,0.0,6.03154820526,0.0,0.166068334395,0.166068334395,0.166068334395,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.598629896935
 01/03  01:00:00,0.893384306992,6.94996821607,0.0,6.50719249696,0.0,0.179164384132,0.179164384132,0.179164384132,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414266229522
 01/03  02:00:00,0.773274110974,7.18478705409,0.0,6.82820661543,0.0,0.188002957275,0.188002957275,0.188002957275,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.330330708455
 01/03  03:00:00,0.729745165642,7.38665354201,0.0,7.05401441766,0.0,0.194220187799,0.194220187799,0.194220187799,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306693738842
 01/03  04:00:00,0.722390184441,7.57604264679,0.0,7.23748674783,0.0,0.199271783715,0.199271783715,0.199271783715,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312975727087
 01/03  05:00:00,0.72356351876,7.81159438611,0.0,7.4068011704,0.0,0.203933565928,0.203933565928,0.203933565928,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.380179338263
 01/03  06:00:00,0.779182473451,8.15711274833,0.0,7.45636221239,0.0,0.205298144211,0.205298144211,0.205298144211,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673283426949
 01/03  07:00:00,0.997340266802,8.55648895267,0.0,7.30370875393,0.0,0.201095093067,0.201095093067,0.201095093067,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22104465536
 01/03  08:00:00,1.32770972614,9.1497566394,0.0,7.7419395995,0.0,0.213161027737,0.213161027737,0.213161027737,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37409564736
 01/03  09:00:00,1.27091751557,8.70694608397,0.0,7.34220525264,0.0,0.202155028129,0.202155028129,0.202155028129,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33623134175
 01/03  10:00:00,1.09127468024,8.62232526118,0.0,7.3812933989,0.0,0.203231253192,0.203231253192,0.203231253192,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21676798123
 01/03  11:00:00,1.11484055616,9.68799043485,0.0,8.58862972571,0.0,0.236473188102,0.236473188102,0.236473188102,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07452618178
 01/03  12:00:00,1.09978018298,8.41821886893,0.0,7.44768541041,0.0,0.205059243352,0.205059243352,0.205059243352,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.94569132254
 01/03  13:00:00,1.07459346447,7.96110057547,0.0,7.09039571406,0.0,0.195221884393,0.195221884393,0.195221884393,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84628119939
 01/03  14:00:00,1.04975090593,7.78941692459,0.0,6.97758503791,0.0,0.192115835921,0.192115835921,0.192115835921,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.786563668126
 01/03  15:00:00,1.05232209801,7.69290113804,0.0,6.93831210905,0.0,0.191034523186,0.191034523186,0.191034523186,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727897998973
 01/03  16:00:00,1.12816285766,7.81325628415,0.0,7.04993963277,0.0,0.194107995586,0.194107995586,0.194107995586,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.735141940957
 01/03  17:00:00,1.38776248235,7.69097945153,0.0,6.85164279613,0.0,0.188648232312,0.188648232312,0.188648232312,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.806010910967
