Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.902322164997,7.0494786286,0.0,6.59305856586,0.0,0.181528559061,0.181528559061,0.181528559061,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427910573146
 01/01  02:00:00,0.769456693759,6.90966219409,0.0,6.5462046185,0.0,0.180238515985,0.180238515985,0.180238515985,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337207845389
 01/01  03:00:00,0.719229395559,6.91506873051,0.0,6.5772457133,0.0,0.181093179288,0.181093179288,0.181093179288,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311877631706
 01/01  04:00:00,0.704288354908,6.875057481,0.0,6.5304431146,0.0,0.179804550009,0.179804550009,0.179804550009,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319034194537
 01/01  05:00:00,0.699450010502,6.85193894518,0.0,6.43399083963,0.0,0.177148902055,0.177148902055,0.177148902055,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393334228103
 01/01  06:00:00,0.745220487975,6.81284976966,0.0,6.07408333135,0.0,0.167239466135,0.167239466135,0.167239466135,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711299329316
 01/01  07:00:00,0.964836129747,7.07738876381,0.0,5.73725383878,0.0,0.157965443794,0.157965443794,0.157965443794,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30839938165
 01/01  08:00:00,1.29842567145,7.42502694409,0.0,5.90977838033,0.0,0.162715611128,0.162715611128,0.162715611128,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48152717122
 01/01  09:00:00,1.25555240952,7.08403429467,0.0,5.60603728964,0.0,0.154352621179,0.154352621179,0.154352621179,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44948751545
 01/01  10:00:00,1.08646962659,6.91763997343,0.0,5.57126192193,0.0,0.153395141077,0.153395141077,0.153395141077,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32211417045
 01/01  11:00:00,1.10591525098,7.60545313598,0.0,6.41520454413,0.0,0.176631653631,0.176631653631,0.176631653631,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16541406449
 01/01  12:00:00,1.10262249619,6.69134847159,0.0,5.64454253421,0.0,0.155412797043,0.155412797043,0.155412797043,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0219638014
 01/01  13:00:00,1.08034273383,6.49860862381,0.0,5.56274519694,0.0,0.153160647662,0.153160647662,0.153160647662,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911439764859
 01/01  14:00:00,1.0509340728,6.30662606349,0.0,5.43745402968,0.0,0.149710970274,0.149710970274,0.149710970274,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843903815256
 01/01  15:00:00,1.05268290158,6.33734873191,0.0,5.53038824839,0.0,0.152269754583,0.152269754583,0.152269754583,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780269453501
 01/01  16:00:00,1.13371578628,6.72108465677,0.0,5.90565029389,0.0,0.162601951349,0.162601951349,0.162601951349,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787259652463
 01/01  17:00:00,1.40255561159,6.98705377315,0.0,6.0843972538,0.0,0.167523442299,0.167523442299,0.167523442299,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869330774912
 01/01  18:00:00,1.92351038659,8.28209823653,0.0,7.20984366794,0.0,0.198510678924,0.198510678924,0.198510678924,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03176911514
 01/01  19:00:00,2.23869474878,7.3908391925,0.0,6.1566343645,0.0,0.16951236724,0.16951236724,0.16951236724,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19024984499
 01/01  20:00:00,2.20060930943,7.31580543446,0.0,6.04637790216,0.0,0.166476644664,0.166476644664,0.166476644664,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22405734644
 01/01  21:00:00,2.05198556431,7.48582584196,0.0,6.30091467642,0.0,0.173484878156,0.173484878156,0.173484878156,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1379812131
 01/01  22:00:00,1.88731989707,7.63830551512,0.0,6.57112122481,0.0,0.180924552002,0.180924552002,0.180924552002,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02134997879
 01/01  23:00:00,1.56995916506,7.90306277418,0.0,7.02235841663,0.0,0.193348594107,0.193348594107,0.193348594107,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841040634787
 01/01  24:00:00,1.25102155824,8.11276851887,0.0,7.43821837787,0.0,0.204798584849,0.204798584849,0.204798584849,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640083103956
 01/02  01:00:00,0.934998100211,8.45999346518,0.0,8.01859201039,0.0,0.220778177351,0.220778177351,0.220778177351,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412891965203
 01/02  02:00:00,0.82255193798,8.97333831476,0.0,8.61796135778,0.0,0.237280784281,0.237280784281,0.237280784281,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32912722677
 01/02  03:00:00,0.782897047999,9.31581686846,0.0,8.98447359762,0.0,0.247372070155,0.247372070155,0.247372070155,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305397885343
 01/02  04:00:00,0.779081457215,9.63379626016,0.0,9.29649544326,0.0,0.255963056489,0.255963056489,0.255963056489,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311720645036
 01/02  05:00:00,0.785558575246,10.0618667171,0.0,9.65844157522,0.0,0.265928622415,0.265928622415,0.265928622415,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378811264463
 01/02  06:00:00,0.85048605184,10.7447982665,0.0,10.0460851227,0.0,0.2766017226,0.2766017226,0.2766017226,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671246034804
 01/02  07:00:00,1.09498148727,12.0995353317,0.0,10.8500063078,0.0,0.298736313531,0.298736313531,0.298736313531,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2177934805
 01/02  08:00:00,1.40760632747,12.047980567,0.0,10.6437583244,0.0,0.293057629067,0.293057629067,0.293057629067,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37050085004
 01/02  09:00:00,1.31967624963,10.4731442157,0.0,9.11310670692,0.0,0.250913762186,0.250913762186,0.250913762186,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33152801918
 01/02  10:00:00,1.1057046372,9.14301771906,0.0,7.9053847698,0.0,0.217661210157,0.217661210157,0.217661210157,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21336906821
 01/02  11:00:00,1.09138279489,8.83337722614,0.0,7.73665142169,0.0,0.213015426832,0.213015426832,0.213015426832,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07189127709
 01/02  12:00:00,1.04600082871,6.46320540584,0.0,5.49443665359,0.0,0.151279889085,0.151279889085,0.151279889085,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943926616278
 01/02  13:00:00,0.991477194093,4.94181373431,0.0,4.07163965047,0.0,0.112105614015,0.112105614015,0.112105614015,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845750421818
 01/02  14:00:00,0.960138374153,4.53564750372,0.0,3.72288686101,0.0,0.102503304145,0.102503304145,0.102503304145,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.787492424165
 01/02  15:00:00,0.956999898031,4.23175950205,0.0,3.47624062935,0.0,0.0957123232092,0.0957123232092,0.0957123232092,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.728827842689
 01/02  16:00:00,1.02417070048,4.03745661024,0.0,3.27297811095,0.0,0.0901158384051,0.0901158384051,0.0901158384051,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736303788874
 01/02  17:00:00,1.29629191504,4.37063601049,0.0,3.52946136921,0.0,0.0971776649959,0.0971776649959,0.0971776649959,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807848896851
 01/02  18:00:00,1.81815010586,5.66585068438,0.0,4.66716301543,0.0,0.128502328415,0.128502328415,0.128502328415,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958202215503
 01/02  19:00:00,2.14407616244,5.10503310808,0.0,3.96625747013,0.0,0.109204096433,0.109204096433,0.109204096433,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09482065494
 01/02  20:00:00,2.11180399431,5.22721915682,0.0,4.06475597203,0.0,0.111916083736,0.111916083736,0.111916083736,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11709299894
 01/02  21:00:00,1.96344605134,5.43350352121,0.0,4.35112397511,0.0,0.119800735517,0.119800735517,0.119800735517,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03544959367
 01/02  22:00:00,1.79966927153,5.66222055117,0.0,4.68090839708,0.0,0.128880783923,0.128880783923,0.128880783923,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935477842576
 01/02  23:00:00,1.48667617984,5.83887091933,0.0,5.0251476321,0.0,0.138358820813,0.138358820813,0.138358820813,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.774059564464
 01/02  24:00:00,1.17955001952,6.04023501748,0.0,5.40661576172,0.0,0.14886189146,0.14886189146,0.14886189146,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.599152218713
 01/03  01:00:00,0.87499044175,6.28238765028,0.0,5.83913325921,0.0,0.16077051889,0.16077051889,0.16077051889,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.414744901489
 01/03  02:00:00,0.761556271202,6.75941775223,0.0,6.402618464,0.0,0.176285117503,0.176285117503,0.176285117503,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.33054955803
 01/03  03:00:00,0.723080753013,7.14475505587,0.0,6.81196510597,0.0,0.187555775169,0.187555775169,0.187555775169,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306844564395
 01/03  04:00:00,0.714237431094,7.28025646628,0.0,6.94138138253,0.0,0.191119030367,0.191119030367,0.191119030367,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.313294911885
 01/03  05:00:00,0.710647483441,7.34248264476,0.0,6.93769494417,0.0,0.19101753061,0.19101753061,0.19101753061,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.380173823145
 01/03  06:00:00,0.758765872124,7.41541124328,0.0,6.71483785411,0.0,0.184881542884,0.184881542884,0.184881542884,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673106280172
 01/03  07:00:00,0.983815787136,8.06522705596,0.0,6.81250402574,0.0,0.187570613401,0.187570613401,0.187570613401,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22098748684
 01/03  08:00:00,1.28092900842,7.45060126963,0.0,6.04287905922,0.0,0.166380310024,0.166380310024,0.166380310024,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37400081787
 01/03  09:00:00,1.22337507388,6.98029520558,0.0,5.61547914383,0.0,0.154612586439,0.154612586439,0.154612586439,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33630657216
 01/03  10:00:00,1.03816292743,6.69391909772,0.0,5.45229171135,0.0,0.150119500388,0.150119500388,0.150119500388,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21736350532
 01/03  11:00:00,1.03581716532,6.81851883977,0.0,5.71852572364,0.0,0.157449797267,0.157449797267,0.157449797267,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07515858877
 01/03  12:00:00,1.03118674999,5.92818673907,0.0,4.95639410457,0.0,0.136465810359,0.136465810359,0.136465810359,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946950498531
 01/03  13:00:00,0.999838260848,5.24729328901,0.0,4.3753108914,0.0,0.120466680771,0.120466680771,0.120466680771,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.847558735603
 01/03  14:00:00,0.968235484296,4.83063803665,0.0,4.01697128311,0.0,0.110600414288,0.110600414288,0.110600414288,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788398534985
 01/03  15:00:00,0.965610914752,4.54527608791,0.0,3.78898997219,0.0,0.10432333993,0.10432333993,0.10432333993,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729595085707
 01/03  16:00:00,1.03650426107,4.48621231392,0.0,3.72092904354,0.0,0.102449398999,0.102449398999,0.102449398999,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737108559966
 01/03  17:00:00,1.29984241328,4.50020902653,0.0,3.65841431735,0.0,0.10072816324,0.10072816324,0.10072816324,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808468964744
 01/03  18:00:00,1.80535170503,5.20208924841,0.0,4.20232923571,0.0,0.115703927583,0.115703927583,0.115703927583,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.959274559249
 01/03  19:00:00,2.12748155006,4.50431776547,0.0,3.36354651482,0.0,0.0926094840611,0.0926094840611,0.0926094840611,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09681626763
 01/03  20:00:00,2.09035808876,4.45029134077,0.0,3.28584761735,0.0,0.0904701781899,0.0904701781899,0.0904701781899,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11907353756
 01/03  21:00:00,1.93601311564,4.43917695056,0.0,3.35476862132,0.0,0.0923677998196,0.0923677998196,0.0923677998196,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03747837681
 01/03  22:00:00,1.76725052655,4.48685150068,0.0,3.50347006243,0.0,0.0964620389447,0.0964620389447,0.0964620389447,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.937547126728
 01/03  23:00:00,1.45081784198,4.53830292851,0.0,3.72278439614,0.0,0.102500482951,0.102500482951,0.102500482951,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.775854809603
 01/03  24:00:00,1.14017634295,4.61182544149,0.0,3.97657656059,0.0,0.109488214889,0.109488214889,0.109488214889,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.600781843855
 01/04  01:00:00,0.82724537126,4.54943848165,0.0,4.10504773792,0.0,0.113025448401,0.113025448401,0.113025448401,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415881254143
 01/04  02:00:00,0.704855266868,4.70106253561,0.0,4.34325632148,0.0,0.119584113169,0.119584113169,0.119584113169,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.331556483928
 01/04  03:00:00,0.658380648474,4.79647279129,0.0,4.46207823059,0.0,0.12285567063,0.12285567063,0.12285567063,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.3084491752
 01/04  04:00:00,0.647210152136,4.84745699758,0.0,4.50697228476,0.0,0.124091751409,0.124091751409,0.124091751409,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.314904540948
