Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.01602147682,6.1201366211,0.0,6.09216924272,0.0,0.154396790048,0.154396790048,0.154396790048,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.834572451975,6.35727752189,0.0,6.33152693332,0.0,0.160607387279,0.160607387279,0.160607387279,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.776231091353,6.70003143124,0.0,6.67457940021,0.0,0.168302397757,0.168302397757,0.168302397757,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.770211102,6.81641257115,0.0,6.79131880918,0.0,0.171168369656,0.171168369656,0.171168369656,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.818050124568,6.85347690438,0.0,6.82933106263,0.0,0.171893084167,0.171893084167,0.171893084167,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.08326676768,6.81525878929,0.0,6.78831397052,0.0,0.170720503684,0.170720503684,0.170720503684,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.69682767745,6.5963811209,0.0,6.56524903251,0.0,0.165034751472,0.165034751472,0.165034751472,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.13850445759,7.00960491974,0.0,6.97652474334,0.0,0.175168750231,0.175168750231,0.175168750231,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.06598196159,6.31749046626,0.0,6.28952308788,0.0,0.157869729383,0.157869729383,0.157869729383,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.8175666982,6.13224356453,0.0,6.10844106396,0.0,0.153461477187,0.153461477187,0.153461477187,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428677893
