Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.850995003141,5.18953432353,0.0,4.72887264446,0.0,0.130201397205,0.130201397205,0.130201397205,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.432152189481
 01/01  02:00:00,0.724512777588,5.28067893338,0.0,4.91385611626,0.0,0.135294599813,0.135294599813,0.135294599813,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.340573086916
 01/01  03:00:00,0.676758673377,5.37553602756,0.0,5.03472281704,0.0,0.138622457106,0.138622457106,0.138622457106,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.314867825019
 01/01  04:00:00,0.66413074155,5.41930826555,0.0,5.07193158285,0.0,0.139646936652,0.139646936652,0.139646936652,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.321796510838
 01/01  05:00:00,0.66198076255,5.4934228649,0.0,5.0731198701,0.0,0.139679654103,0.139679654103,0.139679654103,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.395689117351
 01/01  06:00:00,0.716222244702,5.76191638009,0.0,5.02087651257,0.0,0.138241222862,0.138241222862,0.138241222862,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.713572758527
 01/01  07:00:00,0.951778590159,6.6056085697,0.0,5.26300822324,0.0,0.144907904206,0.144907904206,0.144907904206,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.31086480308
 01/01  08:00:00,1.27765718579,6.67295294067,0.0,5.15547369683,0.0,0.141947125467,0.141947125467,0.141947125467,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4837578513
 01/01  09:00:00,1.22242915291,5.8825411301,0.0,4.40301132035,0.0,0.12122936457,0.12122936457,0.12122936457,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.45102032017
 01/01  10:00:00,1.05732817711,5.8612255041,0.0,4.51285390005,0.0,0.124253691597,0.124253691597,0.124253691597,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.324107723
