Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.932758319697,2.8667621861,0.0,2.83879480773,0.0,0.0711336320643,0.0711336320643,0.0711336320643,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803466381
 01/01  02:00:00,0.744043324009,2.81850249671,0.0,2.79275190814,0.0,0.0700782624392,0.0700782624392,0.0700782624392,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844070202
 01/01  03:00:00,0.680895185422,2.91838359324,0.0,2.89293156221,0.0,0.0729664929036,0.0729664929036,0.0729664929036,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417444477
 01/01  04:00:00,0.670660172042,2.85673684172,0.0,2.83164307976,0.0,0.0716174397074,0.0716174397074,0.0716174397074,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553451
 01/01  05:00:00,0.71853842027,2.88549015203,0.0,2.86134431028,0.0,0.0723813798695,0.0723813798695,0.0723813798695,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.973774443927,2.44712728427,0.0,2.4201824655,0.0,0.0612281799275,0.0612281799275,0.0612281799275,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.58571020651,2.16370454842,0.0,2.13257246003,0.0,0.0539172805397,0.0539172805397,0.0539172805397,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.02363522861,2.3991593864,0.0,2.36607921,0.0,0.0602995212513,0.0602995212513,0.0602995212513,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.97075485106,2.48973898817,0.0,2.4617716098,0.0,0.0626426188485,0.0626426188485,0.0626426188485,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.7237096559,2.37490482183,0.0,2.35110232126,0.0,0.0596044334208,0.0596044334208,0.0596044334208,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428679357
 01/01  11:00:00,1.61749241889,2.39685822593,0.0,2.37249592995,0.0,0.0602018097707,0.0602018097707,0.0602018097707,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447339
 01/01  12:00:00,1.49754652021,0.706692877658,0.0,0.682323117745,0.0,0.0170242009678,0.0170242009678,0.0170242009678,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158578
 01/01  13:00:00,1.39068809765,0.128564354277,0.0,0.104605110994,0.0,0.00259372393562,0.00259372393562,0.00259372393562,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165282
 01/01  14:00:00,1.31671439238,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430562592019
 01/01  15:00:00,1.27257420273,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388026734813
 01/01  16:00:00,1.34559992507,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.392766996926
 01/01  17:00:00,1.65597454891,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447464478397
 01/01  18:00:00,2.24706732107,0.374191449561,0.0,0.334475831645,0.0,0.0083948211529,0.0083948211529,0.0083948211529,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556610869333
 01/01  19:00:00,2.67813125371,0.200260924999,0.0,0.157141751028,0.0,0.00395725275368,0.00395725275368,0.00395725275368,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127802216
 01/01  20:00:00,2.6730015197,0.606261161772,0.0,0.561753695199,0.0,0.0142937308336,0.0142937308336,0.0142937308336,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670416
 01/01  21:00:00,2.47798407083,1.09831662268,0.0,1.05227904867,0.0,0.0269327506273,0.0269327506273,0.0269327506273,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498748019
 01/01  22:00:00,2.25125471405,1.7346204646,0.0,1.68965769776,0.0,0.0432326350712,0.0432326350712,0.0432326350712,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454412958
 01/01  23:00:00,1.82974979352,2.39628946462,0.0,2.35737995208,0.0,0.0600682254129,0.0600682254129,0.0600682254129,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370614462
 01/01  24:00:00,1.39576734195,3.15253523736,0.0,3.11872359497,0.0,0.0791102188668,0.0791102188668,0.0791102188668,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875811101
 01/02  01:00:00,0.942934321727,3.92541047084,0.0,3.89744309247,0.0,0.0984475005115,0.0984475005115,0.0984475005115,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.14823928304
 01/02  02:00:00,0.766831205012,4.08311297394,0.0,4.05736238537,0.0,0.102372858906,0.102372858906,0.102372858906,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.092524715632
 01/02  03:00:00,0.709149898468,4.33732210359,0.0,4.31187007256,0.0,0.107911359532,0.107911359532,0.107911359532,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.706704214134,4.55659786242,0.0,4.53150410045,0.0,0.113405643362,0.113405643362,0.113405643362,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.754360330158,4.81317849234,0.0,4.78903265059,0.0,0.119828916088,0.119828916088,0.119828916088,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.996133591442,4.57708004883,0.0,4.55013523006,0.0,0.113444614817,0.113444614817,0.113444614817,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.58354524979,4.89260992469,0.0,4.8614778363,0.0,0.121455942407,0.121455942407,0.121455942407,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.97690975953,4.30115066659,0.0,4.26807049019,0.0,0.106660391809,0.106660391809,0.106660391809,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337277858
