Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.896915366995,6.85605839172,0.0,6.3966854108,0.0,0.176121761059,0.176121761059,0.176121761059,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430863491338
 01/01  02:00:00,0.776526997252,7.16832631101,0.0,6.8029957551,0.0,0.187308819478,0.187308819478,0.187308819478,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339080825709
 01/01  03:00:00,0.732566745243,7.400707434,0.0,7.06165394106,0.0,0.194430528972,0.194430528972,0.194430528972,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313108107436
 01/01  04:00:00,0.723104775083,7.55930123393,0.0,7.21384941086,0.0,0.198620970184,0.198620970184,0.198620970184,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319871651205
 01/01  05:00:00,0.729640922432,7.94901560928,0.0,7.53051499836,0.0,0.207339813985,0.207339813985,0.207339813985,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393886733469
 01/01  06:00:00,0.791192837901,8.48289696227,0.0,7.74378421501,0.0,0.213211816061,0.213211816061,0.213211816061,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711645638263
 01/01  07:00:00,1.04073284548,9.83431383423,0.0,8.49379801236,0.0,0.233862159532,0.233862159532,0.233862159532,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30878027848
 01/01  08:00:00,1.36437420426,9.82020142395,0.0,8.30500776699,0.0,0.228664143943,0.228664143943,0.228664143943,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48147226442
 01/01  09:00:00,1.30069777355,8.7221938195,0.0,7.24570231299,0.0,0.19949798521,0.19949798521,0.19949798521,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44798201693
 01/01  10:00:00,1.1223694206,8.22054901116,0.0,6.87513083207,0.0,0.189294935094,0.189294935094,0.189294935094,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32115429804
 01/01  11:00:00,1.13593676724,8.69482102046,0.0,7.50557630714,0.0,0.206653169897,0.206653169897,0.206653169897,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16441018596
 01/01  12:00:00,1.11594344765,7.17345859135,0.0,6.12835518385,0.0,0.168733748506,0.168733748506,0.168733748506,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02026127152
 01/01  13:00:00,1.0830335497,6.59642995977,0.0,5.66047475924,0.0,0.155851463532,0.155851463532,0.155851463532,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.91153153852
 01/01  14:00:00,1.05079448977,6.30097153493,0.0,5.43238441936,0.0,0.149571387249,0.149571387249,0.149571387249,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.84331889702
