Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.969818360613,4.33384379468,0.0,4.30587641631,0.0,0.108193673803,0.108193673803,0.108193673803,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465558
 01/01  02:00:00,0.783524473392,4.36032799623,0.0,4.33457740766,0.0,0.109559408695,0.109559408695,0.109559408695,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101467
 01/01  03:00:00,0.719455984471,4.41907095344,0.0,4.39361892242,0.0,0.111527302357,0.111527302357,0.111527302357,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417340438
 01/01  04:00:00,0.707983623544,4.3100212632,0.0,4.28492750123,0.0,0.108940895217,0.108940895217,0.108940895217,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072513367
 01/01  05:00:00,0.751703662372,4.17042751289,0.0,4.14628167113,0.0,0.105546635824,0.105546635824,0.105546635824,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137174821
 01/01  06:00:00,1.01343263363,3.98631539318,0.0,3.95937057441,0.0,0.100886376924,0.100886376924,0.100886376924,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635087612
 01/01  07:00:00,1.62370228407,3.63586960307,0.0,3.60473751468,0.0,0.0919093581307,0.0919093581307,0.0919093581307,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252505
 01/01  08:00:00,2.05974675623,3.81604530681,0.0,3.78296513041,0.0,0.0964110488717,0.0964110488717,0.0964110488717,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.85626225557
 01/01  09:00:00,1.99197864737,3.3131493043,0.0,3.28518192592,0.0,0.0838664151634,0.0838664151634,0.0838664151634,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.75188052092,3.47032625488,0.0,3.44652375431,0.0,0.0877752961207,0.0877752961207,0.0877752961207,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.67572653235,4.63017292959,0.0,4.60581063361,0.0,0.118435922829,0.118435922829,0.118435922829,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.60454317643,4.83672323389,0.0,4.81235347397,0.0,0.124020857443,0.124020857443,0.124020857443,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.48862906945,3.94978823671,0.0,3.92582899343,0.0,0.10053469574,0.10053469574,0.10053469574,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.41542281834,3.88461859283,0.0,3.85983085235,0.0,0.0983430220121,0.0983430220121,0.0983430220121,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.3734854948,3.95639677342,0.0,3.9302132764,0.0,0.100421585783,0.100421585783,0.100421585783,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516441103
 01/01  16:00:00,1.44982392597,4.08360055724,0.0,4.05596159217,0.0,0.103662939086,0.103662939086,0.103662939086,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328058742
 01/01  17:00:00,1.75604047449,3.9375768742,0.0,3.90488482262,0.0,0.0996155154207,0.0996155154207,0.0996155154207,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888564
