Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.895352944519,6.79667026923,0.0,6.3399387317,0.0,0.174559338583,0.174559338583,0.174559338583,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428222047943
 01/01  02:00:00,0.768383111516,6.87062908305,0.0,6.50721245857,0.0,0.179164933741,0.179164933741,0.179164933741,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337166894282
 01/01  03:00:00,0.721579740778,7.00072138733,0.0,6.66260949167,0.0,0.183443524507,0.183443524507,0.183443524507,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31216651016
 01/01  04:00:00,0.7136003276,7.21351332913,0.0,6.86865095164,0.0,0.189116522701,0.189116522701,0.189116522701,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319282205629
 01/01  05:00:00,0.719180709952,7.568612985,0.0,7.15060346353,0.0,0.196879601505,0.196879601505,0.196879601505,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393395644021
 01/01  06:00:00,0.782110162146,8.15270951576,0.0,7.41390436857,0.0,0.204129140306,0.204129140306,0.204129140306,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.71133803819
 01/01  07:00:00,1.0276274353,9.35795288756,0.0,8.01781375238,0.0,0.220756749352,0.220756749352,0.220756749352,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30840359179
 01/01  08:00:00,1.34767129769,9.2128866941,0.0,7.69836360141,0.0,0.211961237372,0.211961237372,0.211961237372,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48080170014
 01/01  09:00:00,1.31801988636,9.35188341218,0.0,7.87483584923,0.0,0.216820098027,0.216820098027,0.216820098027,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44853807336
 01/01  10:00:00,1.15497550704,9.40492234931,0.0,8.05937334774,0.0,0.221901021526,0.221901021526,0.221901021526,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32128512052
