Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.988920161009,9.05829757629,0.0,8.60338297314,0.0,0.268126555072,0.268126555072,0.268126555072,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426405113563
 01/01  02:00:00,0.868631800904,9.32397183782,0.0,8.96242968468,0.0,0.27941362313,0.27941362313,0.27941362313,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335292422937
 01/01  03:00:00,0.833755369985,9.82992583156,0.0,9.49577132942,0.0,0.295619153714,0.295619153714,0.295619153714,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308209116631
 01/01  04:00:00,0.828776422997,10.1112593843,0.0,9.7708871568,0.0,0.304292618099,0.304292618099,0.304292618099,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31479205568
 01/01  05:00:00,0.812746418617,9.74448217293,0.0,9.33122350191,0.0,0.29044531017,0.29044531017,0.29044531017,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388644793576
 01/01  06:00:00,0.864553493257,9.94506356232,0.0,9.21128825197,0.0,0.286572471417,0.286572471417,0.286572471417,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706308201352
 01/01  07:00:00,1.0787489136,10.0694277279,0.0,8.7337804367,0.0,0.271878227643,0.271878227643,0.271878227643,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30391174777
 01/01  08:00:00,1.42235996529,10.7252267874,0.0,9.2146960292,0.0,0.28664990497,0.28664990497,0.28664990497,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47680936567
 01/01  09:00:00,1.36372472388,9.9148337576,0.0,8.44215738406,0.0,0.262524935541,0.262524935541,0.262524935541,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44416688396
 01/01  10:00:00,1.14104734379,8.04268473929,0.0,6.7014801824,0.0,0.207972858284,0.207972858284,0.207972858284,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31694067583
