Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.990734125326,8.88061690993,0.0,8.42593683775,0.0,0.269940519389,0.269940519389,0.269940519389,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426170582592
 01/01  02:00:00,0.870415780795,9.13976814253,0.0,8.77905872909,0.0,0.28119760302,0.28119760302,0.28119760302,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33445968324
 01/01  03:00:00,0.832578479135,9.52280845801,0.0,9.18789433744,0.0,0.294442262864,0.294442262864,0.294442262864,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30896873507
 01/01  04:00:00,0.826618438068,9.76791752779,0.0,9.42661943178,0.0,0.302134633169,0.302134633169,0.302134633169,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315717924148
 01/01  05:00:00,0.833774475646,10.1333376948,0.0,9.71924892374,0.0,0.311473367199,0.311473367199,0.311473367199,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389474893608
 01/01  06:00:00,0.882030106656,10.2199663459,0.0,9.48526075879,0.0,0.304049084816,0.304049084816,0.304049084816,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707238478111
 01/01  07:00:00,1.1255618529,11.279352329,0.0,9.94333150201,0.0,0.318691166944,0.318691166944,0.318691166944,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30428528364
 01/01  08:00:00,1.45179907034,11.3676817371,0.0,9.85669333055,0.0,0.316089010025,0.316089010025,0.316089010025,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47726701403
 01/01  09:00:00,1.38907915723,10.4626999339,0.0,8.98980016648,0.0,0.287879368891,0.287879368891,0.287879368891,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44439027779
 01/01  10:00:00,1.21886576236,10.262863571,0.0,8.92136804744,0.0,0.285791276852,0.285791276852,0.285791276852,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3172316425
