Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.13948891717,13.9680244075,0.0,13.5172454622,0.0,0.41869531123,0.41869531123,0.41869531123,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.422269455752
 01/01  02:00:00,1.02237503201,14.3485853228,0.0,13.9922934574,0.0,0.433156854236,0.433156854236,0.433156854236,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.330042135198
 01/01  03:00:00,0.980755887989,14.6257045651,0.0,14.2956538217,0.0,0.442619671719,0.442619671719,0.442619671719,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30410535782
 01/01  04:00:00,0.978980974483,15.0117445418,0.0,14.6754096524,0.0,0.454497169585,0.454497169585,0.454497169585,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.310754717544
 01/01  05:00:00,0.974415403867,15.0090035393,0.0,14.59964971,0.0,0.45211429542,0.45211429542,0.45211429542,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.38473995192
 01/01  06:00:00,1.02983372117,15.3209586378,0.0,14.5911035544,0.0,0.451852699329,0.451852699329,0.451852699329,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.702387974352
 01/01  07:00:00,1.25349722314,15.7514405513,0.0,14.4200524643,0.0,0.44662653719,0.44662653719,0.44662653719,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.2996525436
 01/01  08:00:00,1.60548007809,16.6764987019,0.0,15.1704550418,0.0,0.469770017771,0.469770017771,0.469770017771,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47232226761
 01/01  09:00:00,1.53109835865,15.3587203662,0.0,13.8907476001,0.0,0.429898570311,0.429898570311,0.429898570311,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43946327646
 01/01  10:00:00,1.30889489701,13.487180429,0.0,12.150663284,0.0,0.375820411496,0.375820411496,0.375820411496,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31225326387
