Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.887499691868,6.11164723216,0.0,5.65351134151,0.0,0.166706085931,0.166706085931,0.166706085931,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429626401069
 01/01  02:00:00,0.764180791553,6.29770274221,0.0,5.93307747705,0.0,0.174962613778,0.174962613778,0.174962613778,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338375534958
 01/01  03:00:00,0.719861929461,6.50083800537,0.0,6.16237257336,0.0,0.18172571319,0.18172571319,0.18172571319,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31252004651
 01/01  04:00:00,0.709498912411,6.61974599211,0.0,6.2747700262,0.0,0.185015107513,0.185015107513,0.185015107513,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319395794044
 01/01  05:00:00,0.70954581507,6.76903848851,0.0,6.35095071913,0.0,0.187244706623,0.187244706623,0.187244706623,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393473891926
 01/01  06:00:00,0.768275122472,7.19301660306,0.0,6.45410507187,0.0,0.190294100632,0.190294100632,0.190294100632,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711444422189
 01/01  07:00:00,1.00743085832,8.14059750624,0.0,6.80032022206,0.0,0.200560172367,0.200560172367,0.200560172367,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30854174079
 01/01  08:00:00,1.32006886303,7.77275269739,0.0,6.25824719502,0.0,0.184358802714,0.184358802714,0.184358802714,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48078410982
 01/01  09:00:00,1.26297411566,6.97435328772,0.0,5.49729458599,0.0,0.16177432732,0.16177432732,0.16177432732,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44854921215
 01/01  10:00:00,1.06090946907,5.69823910671,0.0,4.35252854315,0.0,0.127834983561,0.127834983561,0.127834983561,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32144668252
 01/01  11:00:00,1.04231589364,5.03614789151,0.0,3.84558492046,0.0,0.113032296292,0.113032296292,0.113032296292,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16572844369
 01/01  12:00:00,1.01897304765,3.5014180073,0.0,2.45354257357,0.0,0.0717633484981,0.0717633484981,0.0717633484981,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02303329776
 01/01  13:00:00,0.986127363342,2.95172696702,0.0,2.01284480279,0.0,0.0589452771734,0.0589452771734,0.0589452771734,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914458502209
 01/01  14:00:00,0.957450495786,2.78759521041,0.0,1.91575874751,0.0,0.0562273932641,0.0562273932641,0.0562273932641,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846568244344
 01/01  15:00:00,0.963912437231,2.97122644991,0.0,2.16190228621,0.0,0.0634992902347,0.0634992902347,0.0634992902347,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.782633133683
 01/01  16:00:00,1.05532552686,3.67058620861,0.0,2.85297371486,0.0,0.0842116919338,0.0842116919338,0.0842116919338,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789437783333
