Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.12974539659,14.6081633592,0.0,14.1596205465,0.0,0.408951790654,0.408951790654,0.408951790654,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.4200333231
 01/01  02:00:00,1.00882852823,14.8792840357,0.0,14.5246648078,0.0,0.41961035046,0.41961035046,0.41961035046,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.328369497734
 01/01  03:00:00,0.958509528256,14.8799747054,0.0,14.5513058933,0.0,0.420373311985,0.420373311985,0.420373311985,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.302723426595
 01/01  04:00:00,0.944529225195,14.8760896174,0.0,14.5410154848,0.0,0.420045420297,0.420045420297,0.420045420297,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.309493960713
 01/01  05:00:00,0.938679854213,14.8209676558,0.0,14.4126547576,0.0,0.416378745766,0.416378745766,0.416378745766,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.383699020776
 01/01  06:00:00,0.988477916387,14.9395800336,0.0,14.2104479057,0.0,0.410496894547,0.410496894547,0.410496894547,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.701665018945
 01/01  07:00:00,1.20100990238,14.9757792385,0.0,13.6451172035,0.0,0.394139216432,0.394139216432,0.394139216432,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29892649157
 01/01  08:00:00,1.53376569386,15.2912540442,0.0,13.7857157848,0.0,0.398055633543,0.398055633543,0.398055633543,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47181686687
 01/01  09:00:00,1.46904368958,14.2092723497,0.0,12.741006362,0.0,0.367843901245,0.367843901245,0.367843901245,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43975649811
 01/01  10:00:00,1.2852553965,13.5386007345,0.0,12.2016914497,0.0,0.352180910991,0.352180910991,0.352180910991,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3126454037
 01/01  11:00:00,1.3026477411,14.1060536015,0.0,12.9249618503,0.0,0.37336414375,0.37336414375,0.37336414375,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15625722378
 01/01  12:00:00,1.27473535611,12.3968308987,0.0,11.3595180655,0.0,0.327525656958,0.327525656958,0.327525656958,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01247069718
 01/01  13:00:00,1.23640603197,11.6467718817,0.0,10.7185052047,0.0,0.309223945801,0.309223945801,0.309223945801,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.903843014916
 01/01  14:00:00,1.20176828245,11.2788221164,0.0,10.4177633724,0.0,0.300545179931,0.300545179931,0.300545179931,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.835790525402
 01/01  15:00:00,1.20490975835,11.3540035295,0.0,10.5556608122,0.0,0.304496611349,0.304496611349,0.304496611349,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.771651687307
 01/01  16:00:00,1.28003940231,11.5126640659,0.0,10.7055825968,0.0,0.30892556738,0.30892556738,0.30892556738,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.778906758665
 01/01  17:00:00,1.55690430351,12.0465723388,0.0,11.1520214572,0.0,0.321872134222,0.321872134222,0.321872134222,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.861225137133
 01/01  18:00:00,2.09425241852,13.8448396496,0.0,12.7807816132,0.0,0.369252710858,0.369252710858,0.369252710858,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02357258295
 01/01  19:00:00,2.39742014943,12.6137724682,0.0,11.3879228976,0.0,0.328237767891,0.328237767891,0.328237767891,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1818945876
 01/01  20:00:00,2.35981830611,12.5484657734,0.0,11.2870033701,0.0,0.32568564134,0.32568564134,0.32568564134,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21609221742
 01/01  21:00:00,2.21594959268,12.868251806,0.0,11.6916053709,0.0,0.337448906527,0.337448906527,0.337448906527,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.12971648269
 01/01  22:00:00,2.05958066054,13.2940241831,0.0,12.2351047688,0.0,0.353185315463,0.353185315463,0.353185315463,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0130851028
 01/01  23:00:00,1.74878661508,13.7634502701,0.0,12.8908842132,0.0,0.37217604413,0.37217604413,0.37217604413,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.832902334165
 01/01  24:00:00,1.43535496048,14.1434833502,0.0,13.4769985498,0.0,0.389131987085,0.389131987085,0.389131987085,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.632017763371
 01/02  01:00:00,1.12003768695,14.486448475,0.0,14.0531180976,0.0,0.405817764092,0.405817764092,0.405817764092,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.404820887782
 01/02  02:00:00,1.00399110708,14.8448325117,0.0,14.4980269691,0.0,0.418719953376,0.418719953376,0.418719953376,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.320555812448
 01/02  03:00:00,0.955941193339,14.8794709886,0.0,14.5562107769,0.0,0.420416215496,0.420416215496,0.420416215496,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.297314826277
 01/02  04:00:00,0.937483271719,14.6779135018,0.0,14.3489154412,0.0,0.414364870992,0.414364870992,0.414364870992,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.303417888745
 01/02  05:00:00,0.92633178126,14.478374307,0.0,14.0832050351,0.0,0.406701828429,0.406701828429,0.406701828429,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.370555394482
 01/02  06:00:00,0.974521286367,14.5635231476,0.0,13.8727448394,0.0,0.400636957127,0.400636957127,0.400636957127,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.663311199242
 01/02  07:00:00,1.20622881986,15.4345504841,0.0,14.1925511318,0.0,0.409983646125,0.409983646125,0.409983646125,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21026380891
 01/02  08:00:00,1.49812704329,14.6832848468,0.0,13.286807366,0.0,0.383578344888,0.383578344888,0.383578344888,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36275608827
 01/02  09:00:00,1.44563274239,14.4058380217,0.0,13.05207159,0.0,0.376870254949,0.376870254949,0.376870254949,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32525694215
 01/02  10:00:00,1.2608669344,14.1430595517,0.0,12.9124166169,0.0,0.372823507359,0.372823507359,0.372823507359,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20637905382
 01/02  11:00:00,1.28605122797,15.1945330472,0.0,14.1054126927,0.0,0.407683859915,0.407683859915,0.407683859915,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06428582714
 01/02  12:00:00,1.25611039678,13.4879476009,0.0,12.5276466918,0.0,0.361389457148,0.361389457148,0.361389457148,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.935458773143
 01/02  13:00:00,1.21599244954,12.5245621469,0.0,11.6633301416,0.0,0.336620869461,0.336620869461,0.336620869461,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.836808343271
 01/02  14:00:00,1.17599433558,11.8359547319,0.0,11.0329042605,0.0,0.318359265575,0.318359265575,0.318359265575,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.777782252875
 01/02  15:00:00,1.16562479121,11.2943344559,0.0,10.5484112298,0.0,0.304337216385,0.304337216385,0.304337216385,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.719232196078
 01/02  16:00:00,1.23463592941,11.1732229864,0.0,10.4183462127,0.0,0.300581067335,0.300581067335,0.300581067335,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.726702063289
 01/02  17:00:00,1.49801898329,11.1901865834,0.0,10.3590767246,0.0,0.298904733251,0.298904733251,0.298904733251,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.797784114347
 01/02  18:00:00,2.0204869814,12.4452950519,0.0,11.4566502105,0.0,0.330839203947,0.330839203947,0.330839203947,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.94815938801
 01/02  19:00:00,2.32519295678,11.1985478262,0.0,10.0696066199,0.0,0.290320890773,0.290320890773,0.290320890773,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08498622328
 01/02  20:00:00,2.28309186872,10.9763350525,0.0,9.82392151775,0.0,0.28320395815,0.28320395815,0.28320395815,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10704334888
 01/02  21:00:00,2.12902630416,10.9638044964,0.0,9.89053794046,0.0,0.28538098834,0.28538098834,0.28538098834,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02633660349
 01/02  22:00:00,1.96037621106,11.0114766578,0.0,10.0390181219,0.0,0.28958772346,0.28958772346,0.28958772346,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.926624224411
 01/02  23:00:00,1.64545406133,11.1055402408,0.0,10.3006477155,0.0,0.297136702301,0.297136702301,0.297136702301,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.76522880252
 01/02  24:00:00,1.33684169284,11.2361488565,0.0,10.6111431779,0.0,0.306153564777,0.306153564777,0.306153564777,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.590538641531
 01/03  01:00:00,1.03327959607,11.492403493,0.0,11.0574556777,0.0,0.319059673206,0.319059673206,0.319059673206,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406438325771
