Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.00945858812,9.29230842646,0.0,8.83967868632,0.0,0.28866498218,0.28866498218,0.28866498218,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424120250556
 01/01  02:00:00,0.874465053354,9.0886299267,0.0,8.72919352487,0.0,0.28524687558,0.28524687558,0.28524687558,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333186671631
 01/01  03:00:00,0.827971266475,9.20073707332,0.0,8.86691967655,0.0,0.289835050204,0.289835050204,0.289835050204,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307872011271
 01/01  04:00:00,0.812289550786,9.14509163049,0.0,8.8044943434,0.0,0.287805745888,0.287805745888,0.287805745888,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315017115224
 01/01  05:00:00,0.823839555053,9.63670290169,0.0,9.22280953125,0.0,0.301538446606,0.301538446606,0.301538446606,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389279492981
 01/01  06:00:00,0.878073595344,9.91493688818,0.0,9.18023859796,0.0,0.300092573504,0.300092573504,0.300092573504,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707231181228
 01/01  07:00:00,1.11627889528,10.8019509877,0.0,9.46607373807,0.0,0.30940820933,0.30940820933,0.30940820933,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30414170629
 01/01  08:00:00,1.44459917672,10.95751321,0.0,9.44680572697,0.0,0.308889116396,0.308889116396,0.308889116396,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47698609048
 01/01  09:00:00,1.38980040233,10.3035600328,0.0,8.83076123662,0.0,0.288600613995,0.288600613995,0.288600613995,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4442893066
 01/01  10:00:00,1.1990805475,9.49052825601,0.0,8.14895533095,0.0,0.266006061989,0.266006061989,0.266006061989,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31730904402
 01/01  11:00:00,1.21636892272,9.96625166512,0.0,8.78057160455,0.0,0.287085325371,0.287085325371,0.287085325371,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16084553322
 01/01  12:00:00,1.19041251227,8.49954851887,0.0,7.45792960122,0.0,0.243202813121,0.243202813121,0.243202813121,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01677678168
 01/01  13:00:00,1.14228608255,7.52763079693,0.0,6.59496341481,0.0,0.215103996383,0.215103996383,0.215103996383,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908243720111
 01/01  14:00:00,1.11254690117,7.33910396843,0.0,6.47350941951,0.0,0.211323798643,0.211323798643,0.211323798643,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840326330373
 01/01  15:00:00,1.1100072775,7.22250622589,0.0,6.41966605831,0.0,0.209594130501,0.209594130501,0.209594130501,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.77614913756
