Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.12349586662,13.2187014127,0.0,12.7684993531,0.0,0.402702260679,0.402702260679,0.402702260679,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.421692570098
 01/01  02:00:00,1.00788923099,13.6365205813,0.0,13.2803042777,0.0,0.418671053214,0.418671053214,0.418671053214,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.329966573463
 01/01  03:00:00,0.964400355593,13.8506025695,0.0,13.5207931262,0.0,0.426264139322,0.426264139322,0.426264139322,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.3038640578
 01/01  04:00:00,0.967462903431,14.3829376819,0.0,14.0464074935,0.0,0.442979098533,0.442979098533,0.442979098533,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.310950016474
 01/01  05:00:00,0.9712928783,14.6485050065,0.0,14.2391356833,0.0,0.448991769853,0.448991769853,0.448991769853,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.384755445667
 01/01  06:00:00,1.03269727384,15.1498281705,0.0,14.4198132711,0.0,0.454716252001,0.454716252001,0.454716252001,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.702547790404
 01/01  07:00:00,1.26574710493,15.8810049784,0.0,14.5500188293,0.0,0.458876418976,0.458876418976,0.458876418976,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29925060571
 01/01  08:00:00,1.59978046088,16.2203843246,0.0,14.7148415828,0.0,0.464070400556,0.464070400556,0.464070400556,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47182134929
 01/01  09:00:00,1.51518035784,14.6089033936,0.0,13.1412150909,0.0,0.413980569502,0.413980569502,0.413980569502,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43917881315
 01/01  10:00:00,1.3092390966,13.2771939518,0.0,11.9401849469,0.0,0.376164611094,0.376164611094,0.376164611094,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31274512388
 01/01  11:00:00,1.31100925931,13.2896385667,0.0,12.1083300019,0.0,0.381725661963,0.381725661963,0.381725661963,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15647403742
 01/01  12:00:00,1.23689498234,10.2578029003,0.0,9.22029126923,0.0,0.289685283187,0.289685283187,0.289685283187,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01266949508
 01/01  13:00:00,1.18669375692,9.17784703141,0.0,8.24793118795,0.0,0.259511670747,0.259511670747,0.259511670747,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905492181451
 01/01  14:00:00,1.1371689694,8.36603181485,0.0,7.50293010982,0.0,0.235945866873,0.235945866873,0.235945866873,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837833486473
 01/01  15:00:00,1.12671655379,7.99543039993,0.0,7.19479217141,0.0,0.226303406796,0.226303406796,0.226303406796,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.773947198503
 01/01  16:00:00,1.20211730321,8.15266383885,0.0,7.34323420637,0.0,0.231003468285,0.231003468285,0.231003468285,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.781254922066
 01/01  17:00:00,1.50157159124,9.35487269272,0.0,8.45767218351,0.0,0.266539421948,0.266539421948,0.266539421948,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.863874764777
 01/01  18:00:00,2.04994356759,11.3682121127,0.0,10.3024246477,0.0,0.324943859929,0.324943859929,0.324943859929,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02530201157
 01/01  19:00:00,2.37149641636,10.8337824895,0.0,9.60619334171,0.0,0.302314034822,0.302314034822,0.302314034822,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18363416475
 01/01  20:00:00,2.34323471056,11.0769403455,0.0,9.81427155136,0.0,0.309102045796,0.309102045796,0.309102045796,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21729860832
 01/01  21:00:00,2.19230326711,11.1400302909,0.0,9.96262257574,0.0,0.313802580954,0.313802580954,0.313802580954,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13047776278
 01/01  22:00:00,2.05082050445,11.9859063309,0.0,10.9258615891,0.0,0.344425159376,0.344425159376,0.344425159376,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01421043027
 01/01  23:00:00,1.740261781,12.4131412173,0.0,11.5398663635,0.0,0.36365121005,0.36365121005,0.36365121005,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.833611131047
 01/01  24:00:00,1.41326865484,12.3164210838,0.0,11.649306087,0.0,0.367045681447,0.367045681447,0.367045681447,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.632647959694
 01/02  01:00:00,1.11089819738,13.0140760862,0.0,12.580073521,0.0,0.396678274525,0.396678274525,0.396678274525,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.405493075599
 01/02  02:00:00,0.983780520542,12.9916352876,0.0,12.6439600707,0.0,0.398509366843,0.398509366843,0.398509366843,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.321425486679
 01/02  03:00:00,0.94276714874,13.2426022214,0.0,12.9187694998,0.0,0.407242170896,0.407242170896,0.407242170896,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.297887336105
 01/02  04:00:00,0.936197981075,13.432364184,0.0,13.10227964,0.0,0.413079580349,0.413079580349,0.413079580349,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.304504372064
 01/02  05:00:00,0.938651465661,13.6887932191,0.0,13.2927269628,0.0,0.419021512829,0.419021512829,0.419021512829,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.371452378875
 01/02  06:00:00,0.991195357877,13.9273485062,0.0,13.2358572118,0.0,0.417311028637,0.417311028637,0.417311028637,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.664024185415
 01/02  07:00:00,1.23629744782,15.1950602379,0.0,13.9525734987,0.0,0.440052274087,0.440052274087,0.440052274087,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2107511958
 01/02  08:00:00,1.53344748033,14.6871702714,0.0,13.2903839981,0.0,0.418898781929,0.418898781929,0.418898781929,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36306488072
 01/02  09:00:00,1.44911375036,13.429834706,0.0,12.0760957798,0.0,0.380351262916,0.380351262916,0.380351262916,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32522943659
 01/02  10:00:00,1.23809449416,12.3465130094,0.0,11.1151462047,0.0,0.350051067116,0.350051067116,0.350051067116,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20710292362
 01/02  11:00:00,1.23436989813,12.3862757178,0.0,11.2960992739,0.0,0.356002530071,0.356002530071,0.356002530071,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06534191656
 01/02  12:00:00,1.17226257106,9.79544968778,0.0,8.8334243331,0.0,0.277541631426,0.277541631426,0.277541631426,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.937183218701
 01/02  13:00:00,1.11609583945,8.39444232882,0.0,7.53059305326,0.0,0.236724259375,0.236724259375,0.236724259375,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.839425613546
 01/02  14:00:00,1.07025408444,7.57028611024,0.0,6.76416643359,0.0,0.212619014435,0.212619014435,0.212619014435,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.780851458102
 01/02  15:00:00,1.06140638609,7.1152210883,0.0,6.36568972491,0.0,0.200118811271,0.200118811271,0.200118811271,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.722840333371
 01/02  16:00:00,1.14597965308,7.49337777335,0.0,6.73466403275,0.0,0.211924791008,0.211924791008,0.211924791008,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.730539030189
 01/02  17:00:00,1.4415598458,8.53167935825,0.0,7.69693079094,0.0,0.24244559576,0.24244559576,0.24244559576,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.801422822876
 01/02  18:00:00,1.9850800481,10.3609776974,0.0,9.36997297038,0.0,0.295432270651,0.295432270651,0.295432270651,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.950519273545
 01/02  19:00:00,2.29522373335,9.41171875502,0.0,8.28073160561,0.0,0.260351667352,0.260351667352,0.260351667352,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.0870321664
 01/02  20:00:00,2.26368738663,9.5364495739,0.0,8.38189145133,0.0,0.26379947606,0.26379947606,0.26379947606,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10918793672
 01/02  21:00:00,2.1166461274,9.74622940361,0.0,8.67156857499,0.0,0.273000811574,0.273000811574,0.273000811574,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02773087619
 01/02  22:00:00,1.95175150078,9.89808842538,0.0,8.92456723739,0.0,0.28096301318,0.28096301318,0.28096301318,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.927686876471
 01/02  23:00:00,1.65237523332,10.4590207406,0.0,9.65306005067,0.0,0.304057874294,0.304057874294,0.304057874294,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.766296967203
 01/02  24:00:00,1.35837947233,11.0268371281,0.0,10.4009618541,0.0,0.327691344276,0.327691344276,0.327691344276,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.591408236942
 01/03  01:00:00,1.06416148897,11.5419364642,0.0,11.1064805988,0.0,0.349941566114,0.349941566114,0.349941566114,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406946375797
 01/03  02:00:00,0.946380447085,11.8112764242,0.0,11.462344284,0.0,0.361109293386,0.361109293386,0.361109293386,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.322682409964
 01/03  03:00:00,0.917844726373,12.4557612314,0.0,12.1305190448,0.0,0.38231974853,0.38231974853,0.38231974853,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299296801117
 01/03  04:00:00,0.910021910175,12.610479528,0.0,12.2794270781,0.0,0.386903509449,0.386903509449,0.386903509449,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.305472277994
 01/03  05:00:00,0.916471779196,12.9896401671,0.0,12.5925543317,0.0,0.396841826365,0.396841826365,0.396841826365,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.372471957992
 01/03  06:00:00,0.980030429966,13.5796967015,0.0,12.8866566886,0.0,0.406146100726,0.406146100726,0.406146100726,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.665572903847
 01/03  07:00:00,1.22874741152,14.9626329437,0.0,13.7175727358,0.0,0.432502237787,0.432502237787,0.432502237787,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21332466452
 01/03  08:00:00,1.52420744151,14.3992752446,0.0,12.9994616838,0.0,0.409658743112,0.409658743112,0.409658743112,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36609216826
 01/03  09:00:00,1.46675675432,13.9907280934,0.0,12.6341215873,0.0,0.397994266873,0.397994266873,0.397994266873,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32809701653
 01/03  10:00:00,1.24843933132,12.6832713401,0.0,11.4500723079,0.0,0.360395904273,0.360395904273,0.360395904273,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20893515117
 01/03  11:00:00,1.22972728056,12.2471797259,0.0,11.1554358398,0.0,0.3513599125,0.3513599125,0.3513599125,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06690935875
 01/03  12:00:00,1.16954981706,9.71219303435,0.0,8.748408379,0.0,0.274828877433,0.274828877433,0.274828877433,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.938942519371
 01/03  13:00:00,1.11367217912,8.32097890513,0.0,7.45555402632,0.0,0.234300599038,0.234300599038,0.234300599038,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841001216786
 01/03  14:00:00,1.07132454666,7.60650788164,0.0,6.79885858728,0.0,0.213689476653,0.213689476653,0.213689476653,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.782381075808
 01/03  15:00:00,1.0633189882,7.1784064676,0.0,6.42780775403,0.0,0.202031413382,0.202031413382,0.202031413382,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723907683548
 01/03  16:00:00,1.14885945321,7.58806954264,0.0,6.82822580995,0.0,0.214804591139,0.214804591139,0.214804591139,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.731669022273
 01/03  17:00:00,1.45130285168,8.84153287376,0.0,8.00539270055,0.0,0.252188601641,0.252188601641,0.252188601641,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.802814428779
 01/03  18:00:00,2.00143284698,10.8808963827,0.0,9.88826074254,0.0,0.31178506953,0.31178506953,0.31178506953,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.952150186691
 01/03  19:00:00,2.32839690391,10.4631294342,0.0,9.33058165478,0.0,0.29352483791,0.29352483791,0.29352483791,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08859279639
 01/03  20:00:00,2.30162650043,10.7399791032,0.0,9.58375318632,0.0,0.301738589863,0.301738589863,0.301738589863,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11085573106
 01/03  21:00:00,2.16398166087,11.2471553613,0.0,10.1713555256,0.0,0.320336345042,0.320336345042,0.320336345042,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02886988321
 01/03  22:00:00,2.00301333689,11.5239165957,0.0,10.5496811608,0.0,0.332224849284,0.332224849284,0.332224849284,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.928401123356
 01/03  23:00:00,1.70408290838,12.0985719424,0.0,11.2922883189,0.0,0.355765549351,0.355765549351,0.355765549351,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.766619900759
 01/03  24:00:00,1.41383776194,12.7833276555,0.0,12.1575645501,0.0,0.383149633884,0.383149633884,0.383149633884,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.591296068305
 01/04  01:00:00,1.11705620666,13.2170786725,0.0,12.7824117329,0.0,0.402836283805,0.402836283805,0.402836283805,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.406157449979
 01/04  02:00:00,1.0007068043,13.5297797017,0.0,13.1817828365,0.0,0.415435650598,0.415435650598,0.415435650598,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.321747135025
 01/04  03:00:00,0.958385243852,13.7414290954,0.0,13.4170706549,0.0,0.422860266009,0.422860266009,0.422860266009,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.298413055005
 01/04  04:00:00,0.949882774003,13.870716069,0.0,13.5403810193,0.0,0.426764373276,0.426764373276,0.426764373276,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.304754877845
 01/04  05:00:00,0.959472148364,14.3474717092,0.0,13.950795634,0.0,0.439842195532,0.439842195532,0.439842195532,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.372062197744
 01/04  06:00:00,1.01704313546,14.7499883632,0.0,14.0568209796,0.0,0.443158806224,0.443158806224,0.443158806224,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.665700274633
 01/04  07:00:00,1.25830668789,15.9001253939,0.0,14.6540964054,0.0,0.462061514158,0.462061514158,0.462061514158,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21429344511
 01/04  08:00:00,1.55433684478,15.3520621948,0.0,13.9510124655,0.0,0.439788146382,0.439788146382,0.439788146382,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36732833677
 01/04  09:00:00,1.48067615634,14.4319586499,0.0,13.0738858806,0.0,0.411913668898,0.411913668898,0.411913668898,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32956327977
 01/04  10:00:00,1.2566399309,12.9428373685,0.0,11.7081284074,0.0,0.368596503856,0.368596503856,0.368596503856,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21044508009
 01/04  11:00:00,1.24334710661,12.6767281837,0.0,11.5834650973,0.0,0.364979738548,0.364979738548,0.364979738548,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06842855905
 01/04  12:00:00,1.18861677238,10.315155154,0.0,9.35012134361,0.0,0.293895832749,0.293895832749,0.293895832749,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.940191674393
 01/04  13:00:00,1.13162981046,8.89043737896,0.0,8.02418069213,0.0,0.25225823038,0.25225823038,0.25225823038,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.841833024812
 01/04  14:00:00,1.0837389406,8.00146893715,0.0,7.19328690001,0.0,0.22610387059,0.22610387059,0.22610387059,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.78291381859
 01/04  15:00:00,1.07771715956,7.63422564281,0.0,6.88307907012,0.0,0.216429584742,0.216429584742,0.216429584742,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.724455542674
 01/04  16:00:00,1.15739305324,7.86238933753,0.0,7.10204635571,0.0,0.223338191166,0.223338191166,0.223338191166,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732168271401
 01/04  17:00:00,1.45719840051,9.02870984518,0.0,8.19179271201,0.0,0.258084150471,0.258084150471,0.258084150471,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803591388747
 01/04  18:00:00,2.01388346184,11.2737430068,0.0,10.2799078569,0.0,0.324235684387,0.324235684387,0.324235684387,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.953349696445
 01/04  19:00:00,2.32503339496,10.3611963834,0.0,9.22776905722,0.0,0.290161328953,0.290161328953,0.290161328953,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08947234319
