Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.998344629942,8.72675070784,0.0,8.27233137502,0.0,0.277551024006,0.277551024006,0.277551024006,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42590984324
 01/01  02:00:00,0.869415691931,8.71123772941,0.0,8.35023642906,0.0,0.280197514156,0.280197514156,0.280197514156,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334751570149
 01/01  03:00:00,0.82553865645,8.90246229271,0.0,8.56783083445,0.0,0.287402440179,0.287402440179,0.287402440179,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308686072762
 01/01  04:00:00,0.81444254784,8.98319975499,0.0,8.64195252922,0.0,0.289958742942,0.289958742942,0.289958742942,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315667053907
 01/01  05:00:00,0.81509030476,9.14193507899,0.0,8.72763013686,0.0,0.292789196313,0.292789196313,0.292789196313,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389691064676
 01/01  06:00:00,0.885559662321,9.89870482553,0.0,9.16347464253,0.0,0.307578640481,0.307578640481,0.307578640481,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70776307401
 01/01  07:00:00,1.13169739145,11.0122385078,0.0,9.67576790725,0.0,0.324826705493,0.324826705493,0.324826705493,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30473505715
 01/01  08:00:00,1.44351168978,10.6854003705,0.0,9.17457298031,0.0,0.307801629456,0.307801629456,0.307801629456,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47710599762
 01/01  09:00:00,1.35206503765,8.96950390415,0.0,7.49679600245,0.0,0.25086524931,0.25086524931,0.25086524931,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44419841212
 01/01  10:00:00,1.15230670995,7.89049088704,0.0,6.54841372531,0.0,0.219232224439,0.219232224439,0.219232224439,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31781328068
