Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.979709131625,8.34552829571,0.0,7.89108158488,0.0,0.258915525689,0.258915525689,0.258915525689,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425937221243
 01/01  02:00:00,0.854566311833,8.44693200827,0.0,8.08609249739,0.0,0.265348134058,0.265348134058,0.265348134058,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334589780683
 01/01  03:00:00,0.808544382798,8.57265460209,0.0,8.23774939561,0.0,0.270408166528,0.270408166528,0.270408166528,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30895982098
 01/01  04:00:00,0.799342959058,8.71487852801,0.0,8.37348685249,0.0,0.27485915416,0.27485915416,0.27485915416,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315811503652
 01/01  05:00:00,0.800628509903,8.89308762843,0.0,8.47861555518,0.0,0.278327401456,0.278327401456,0.278327401456,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389858195803
 01/01  06:00:00,0.853829129429,9.13816521004,0.0,8.40291635964,0.0,0.275848107589,0.275848107589,0.275848107589,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.7077817414
 01/01  07:00:00,1.07718208193,9.57273332654,0.0,8.23613370253,0.0,0.270311395978,0.270311395978,0.270311395978,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30486408062
 01/01  08:00:00,1.4061309132,9.75192526259,0.0,8.24056992769,0.0,0.270420852878,0.270420852878,0.270420852878,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47763394236
 01/01  09:00:00,1.32825363,8.40677835948,0.0,6.93316960903,0.0,0.227053841666,0.227053841666,0.227053841666,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44509926087
 01/01  10:00:00,1.13808714729,7.60032734525,0.0,6.25727417562,0.0,0.205012661777,0.205012661777,0.205012661777,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31878928858
 01/01  11:00:00,1.12477658288,7.15181620164,0.0,5.96473715369,0.0,0.195492985538,0.195492985538,0.195492985538,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1622445206
 01/01  12:00:00,1.11323837478,6.1172140731,0.0,5.07312076779,0.0,0.166028675629,0.166028675629,0.166028675629,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01925116934
 01/01  13:00:00,1.06767736851,5.23043244863,0.0,4.29575610806,0.0,0.140495282344,0.140495282344,0.140495282344,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910252678565
 01/01  14:00:00,1.04910756006,5.3834045145,0.0,4.51580196146,0.0,0.147884457536,0.147884457536,0.147884457536,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842334334485
 01/01  15:00:00,1.06483225503,5.81673194693,0.0,5.01122926877,0.0,0.16441910803,0.16441910803,0.16441910803,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778811648149
 01/01  16:00:00,1.15034824387,6.27564566254,0.0,5.46210324352,0.0,0.179234408943,0.179234408943,0.179234408943,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785367708604
 01/01  17:00:00,1.42357251195,6.6479521104,0.0,5.74750426843,0.0,0.188540342658,0.188540342658,0.188540342658,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867122097532
 01/01  18:00:00,1.95730835234,8.13874503345,0.0,7.06863807704,0.0,0.232308644677,0.232308644677,0.232308644677,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02962150296
 01/01  19:00:00,2.27714769217,7.58105620664,0.0,6.34928620092,0.0,0.207965310626,0.207965310626,0.207965310626,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18781502271
