Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.949554020327,7.79429386306,0.0,7.33726458095,0.0,0.228760414391,0.228760414391,0.228760414391,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428519792529
 01/01  02:00:00,0.825217824215,7.93638303552,0.0,7.5737417634,0.0,0.235999646441,0.235999646441,0.235999646441,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336391541927
 01/01  03:00:00,0.78109357481,8.13638663641,0.0,7.79989819925,0.0,0.242957358539,0.242957358539,0.242957358539,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310543051657
 01/01  04:00:00,0.777316516049,8.45621604139,0.0,8.11299026815,0.0,0.252832711151,0.252832711151,0.252832711151,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317645601366
 01/01  05:00:00,0.780355621525,8.69675440635,0.0,8.28064750024,0.0,0.258054513078,0.258054513078,0.258054513078,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391493028657
 01/01  06:00:00,0.839790203253,9.13845961847,0.0,8.40161095052,0.0,0.261809181413,0.261809181413,0.261809181413,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709381558946
 01/01  07:00:00,1.07235550167,9.85744797502,0.0,8.51930873664,0.0,0.26548481572,0.26548481572,0.26548481572,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.306403695
 01/01  08:00:00,1.39729770649,9.90674963468,0.0,8.3942197253,0.0,0.261587646166,0.261587646166,0.261587646166,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47880851685
 01/01  09:00:00,1.32272260795,8.5989383088,0.0,7.12428225219,0.0,0.221522819619,0.221522819619,0.221522819619,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44614656702
 01/01  10:00:00,1.13050798306,7.69194499146,0.0,6.34813668014,0.0,0.197433497546,0.197433497546,0.197433497546,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31954443027
 01/01  11:00:00,1.12050475821,7.33160294178,0.0,6.14349793213,0.0,0.191221160863,0.191221160863,0.191221160863,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16327048229
 01/01  12:00:00,1.09158520093,5.69917331803,0.0,4.65410742238,0.0,0.144375501783,0.144375501783,0.144375501783,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02022375967
 01/01  13:00:00,1.03574340645,4.44067799491,0.0,3.5041400068,0.0,0.108561320286,0.108561320286,0.108561320286,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912114326093
 01/01  14:00:00,1.02007748388,4.69691244219,0.0,3.8275401624,0.0,0.118854381361,0.118854381361,0.118854381361,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844104061245
 01/01  15:00:00,1.02585111229,4.83750077649,0.0,4.0302023257,0.0,0.125437965297,0.125437965297,0.125437965297,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.78060742077
 01/01  16:00:00,1.10304233327,5.05387569102,0.0,4.23846057078,0.0,0.131928498337,0.131928498337,0.131928498337,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787240409815
 01/01  17:00:00,1.38429267158,5.69353415583,0.0,4.79062405338,0.0,0.149260502289,0.149260502289,0.149260502289,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869584358024
 01/01  18:00:00,1.90622203928,6.88269367645,0.0,5.81057286711,0.0,0.181222331615,0.181222331615,0.181222331615,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03163535589
 01/01  19:00:00,2.23478506709,6.55989192843,0.0,5.32566754863,0.0,0.16560268555,0.16560268555,0.16560268555,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19026939678
 01/01  20:00:00,2.19912159846,6.57278467332,0.0,5.30356128745,0.0,0.164988933695,0.164988933695,0.164988933695,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22385320001
 01/01  21:00:00,2.05299224088,6.78899113642,0.0,5.60487843376,0.0,0.174491554732,0.174491554732,0.174491554732,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13718275023
 01/01  22:00:00,1.88981339036,6.95702375592,0.0,5.89054661814,0.0,0.18341804529,0.18341804529,0.18341804529,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02064282626
 01/01  23:00:00,1.56223916319,6.84214208308,0.0,5.96257124452,0.0,0.185628592236,0.185628592236,0.185628592236,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839907115788
 01/01  24:00:00,1.24823105347,7.16379021757,0.0,6.49014035962,0.0,0.202008080079,0.202008080079,0.202008080079,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639182820891
 01/02  01:00:00,0.924469088269,7.18911549883,0.0,6.74828093168,0.0,0.210249165409,0.210249165409,0.210249165409,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412325077564
 01/02  02:00:00,0.799240351311,7.22401959954,0.0,6.86988453026,0.0,0.213969197612,0.213969197612,0.213969197612,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32788533908
 01/02  03:00:00,0.755676713658,7.39823806653,0.0,7.06762305618,0.0,0.220151735815,0.220151735815,0.220151735815,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304669624845
 01/02  04:00:00,0.744463163652,7.44193490321,0.0,7.1050637698,0.0,0.221344762925,0.221344762925,0.221344762925,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311290961542
 01/02  05:00:00,0.73473372588,7.31193856833,0.0,6.90920482523,0.0,0.215103773048,0.215103773048,0.215103773048,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378119865655
 01/02  06:00:00,0.78157933994,7.37029049453,0.0,6.6720494557,0.0,0.2076950107,0.2076950107,0.2076950107,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.67077392983
 01/02  07:00:00,1.00742463186,8.03138750107,0.0,6.78189923495,0.0,0.21117945813,0.21117945813,0.21117945813,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21775272274
 01/02  08:00:00,1.32349908618,8.11266143186,0.0,6.70821461179,0.0,0.208950387784,0.208950387784,0.208950387784,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37072542754
 01/02  09:00:00,1.24705865136,7.09471591707,0.0,5.73348260732,0.0,0.178296163915,0.178296163915,0.178296163915,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33272382017
 01/02  10:00:00,1.04310274372,6.2308632297,0.0,4.99235679106,0.0,0.155059316676,0.155059316676,0.155059316676,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21424255759
 01/02  11:00:00,1.05328020891,6.71276488262,0.0,5.61496431159,0.0,0.174912840849,0.174912840849,0.174912840849,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07296604368
 01/02  12:00:00,1.02777050589,5.25984863756,0.0,4.29046674339,0.0,0.133049566264,0.133049566264,0.133049566264,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.944539758197
 01/02  13:00:00,0.975430078182,3.97471228763,0.0,3.10409359089,0.0,0.0960584981046,0.0960584981046,0.0960584981046,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.846195034721
