Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03930034966,11.2195169497,0.0,10.767638986,0.0,0.318506743722,0.318506743722,0.318506743722,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423368474202
 01/01  02:00:00,0.911342326939,11.2448122482,0.0,10.886346847,0.0,0.322124149164,0.322124149164,0.322124149164,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332215670985
 01/01  03:00:00,0.871352712937,11.590887691,0.0,11.2580088688,0.0,0.333216496666,0.333216496666,0.333216496666,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306933436704
 01/01  04:00:00,0.868059508032,11.9478352547,0.0,11.6083138171,0.0,0.343575703133,0.343575703133,0.343575703133,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313941265718
 01/01  05:00:00,0.877941396203,12.4274435736,0.0,12.0149453966,0.0,0.355640287756,0.355640287756,0.355640287756,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387884299563
 01/01  06:00:00,0.944685279114,13.1210979056,0.0,12.3878812008,0.0,0.366704257274,0.366704257274,0.366704257274,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70574959573
 01/01  07:00:00,1.19769969187,14.5328635854,0.0,13.1983973628,0.0,0.390829005919,0.390829005919,0.390829005919,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30273067923
 01/01  08:00:00,1.50546516584,14.0024340554,0.0,12.4936170851,0.0,0.369755105523,0.369755105523,0.369755105523,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47509557776
 01/01  09:00:00,1.44759510507,13.1827187334,0.0,11.7116326779,0.0,0.346395316733,0.346395316733,0.346395316733,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44257656584
 01/01  10:00:00,1.23743260701,11.6406311658,0.0,10.3010696608,0.0,0.304358121501,0.304358121501,0.304358121501,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31529762395
 01/01  11:00:00,1.23906277863,11.6534217562,0.0,10.4693341183,0.0,0.309779181282,0.309779181282,0.309779181282,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15925311057
 01/01  12:00:00,1.16466062327,8.42413315041,0.0,7.38407209467,0.0,0.217450924125,0.217450924125,0.217450924125,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01521891977
 01/01  13:00:00,1.11574056517,7.32268098975,0.0,6.39016888167,0.0,0.188558479002,0.188558479002,0.188558479002,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908088446066
 01/01  14:00:00,1.07205957812,6.65552303443,0.0,5.78928078254,0.0,0.1708364756,0.1708364756,0.1708364756,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840974033331
 01/01  15:00:00,1.07147543936,6.60112173217,0.0,5.79763500188,0.0,0.171062292366,0.171062292366,0.171062292366,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776795700275
 01/01  16:00:00,1.1574590636,7.11698234426,0.0,6.30432580499,0.0,0.186345228667,0.186345228667,0.186345228667,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784481828849
 01/01  17:00:00,1.46309971544,8.60452532344,0.0,7.70425076893,0.0,0.228067546156,0.228067546156,0.228067546156,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86694881008
 01/01  18:00:00,2.02311633077,11.1294001441,0.0,10.0604883173,0.0,0.298116623107,0.298116623107,0.298116623107,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02842637326
 01/01  19:00:00,2.33217443249,10.1382716171,0.0,8.90890392168,0.0,0.262992050948,0.262992050948,0.262992050948,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18541271241
 01/01  20:00:00,2.30275078444,10.348267626,0.0,9.08328295655,0.0,0.268618119671,0.268618119671,0.268618119671,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21961448355
 01/01  21:00:00,2.14358785072,10.1462542829,0.0,8.96677644629,0.0,0.265087164567,0.265087164567,0.265087164567,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1325478842
 01/01  22:00:00,1.98871581874,10.6046813334,0.0,9.5425207721,0.0,0.282320473671,0.282320473671,0.282320473671,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01632624979
