Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.0854421862,12.6307328056,0.0,12.1790257814,0.0,0.364648580259,0.364648580259,0.364648580259,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423197534539
 01/01  02:00:00,0.972709155327,13.1655806357,0.0,12.8078396417,0.0,0.383490977553,0.383490977553,0.383490977553,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33149126382
 01/01  03:00:00,0.936375673952,13.6311143452,0.0,13.2994275648,0.0,0.398239457681,0.398239457681,0.398239457681,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305741394835
 01/01  04:00:00,0.935032646835,14.0470279273,0.0,13.7091086532,0.0,0.410548841936,0.410548841936,0.410548841936,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312339102234
 01/01  05:00:00,0.942999546832,14.4575896455,0.0,14.0467625933,0.0,0.420698438385,0.420698438385,0.420698438385,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386213174799
 01/01  06:00:00,1.00612942234,15.0262217222,0.0,14.294700138,0.0,0.428148400502,0.428148400502,0.428148400502,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704054475258
 01/01  07:00:00,1.25464813991,16.27926464,0.0,14.9464816383,0.0,0.447777453961,0.447777453961,0.447777453961,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30104745836
 01/01  08:00:00,1.58137723233,16.3798895605,0.0,14.8726422432,0.0,0.44566717201,0.44566717201,0.44566717201,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47352592477
 01/01  09:00:00,1.49735990208,14.7097932269,0.0,13.2408835802,0.0,0.396160113747,0.396160113747,0.396160113747,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44040015708
 01/01  10:00:00,1.28332305352,13.0469959784,0.0,11.7090412328,0.0,0.350248568007,0.350248568007,0.350248568007,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31369086452
 01/01  11:00:00,1.28532653163,13.0718436503,0.0,11.8894454293,0.0,0.356042934284,0.356042934284,0.356042934284,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15756369371
 01/01  12:00:00,1.21734541837,10.0906727369,0.0,9.05204208568,0.0,0.270135719219,0.270135719219,0.270135719219,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01378851523
 01/01  13:00:00,1.15180568808,8.45328602268,0.0,7.52272114426,0.0,0.224623601916,0.224623601916,0.224623601916,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.9061412164
 01/01  14:00:00,1.09578865643,7.38196334777,0.0,6.51777876252,0.0,0.194565553913,0.194565553913,0.194565553913,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838916366704
 01/01  15:00:00,1.08036819353,6.82887626402,0.0,6.02664719553,0.0,0.179955046535,0.179955046535,0.179955046535,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775538038476
 01/01  16:00:00,1.151757119,6.85765839863,0.0,6.04693610717,0.0,0.180643284069,0.180643284069,0.180643284069,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.782547581041
 01/01  17:00:00,1.43831843601,7.69357394005,0.0,6.79457620914,0.0,0.203286266725,0.203286266725,0.203286266725,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865671986487
 01/01  18:00:00,1.99808689144,10.1782919403,0.0,9.10947163446,0.0,0.273087183777,0.273087183777,0.273087183777,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02833485239
 01/01  19:00:00,2.31345075351,9.41013074583,0.0,8.18078448668,0.0,0.244268371972,0.244268371972,0.244268371972,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18539127614
 01/01  20:00:00,2.28441021559,9.63259869793,0.0,8.36770634895,0.0,0.250277550822,0.250277550822,0.250277550822,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21952216312
 01/01  21:00:00,2.14479641148,10.0812489842,0.0,8.9014248581,0.0,0.266295725326,0.266295725326,0.266295725326,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13289417369
 01/01  22:00:00,2.00236375425,10.94946671,0.0,9.88729917235,0.0,0.295968409179,0.295968409179,0.295968409179,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01633322612
 01/01  23:00:00,1.6943022552,11.490806376,0.0,10.6156154114,0.0,0.317691684249,0.317691684249,0.317691684249,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.835527241803
 01/01  24:00:00,1.38647987756,12.035928075,0.0,11.3668155876,0.0,0.340256904167,0.340256904167,0.340256904167,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.63464545034
 01/02  01:00:00,1.07521371663,12.4940000856,0.0,12.0582501346,0.0,0.360993793767,0.360993793767,0.360993793767,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.407240461434
 01/02  02:00:00,0.962096960165,12.9357097667,0.0,12.5862616087,0.0,0.376825806466,0.376825806466,0.376825806466,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32319842783
 01/02  03:00:00,0.923681712431,13.2897062014,0.0,12.9640508282,0.0,0.388156734587,0.388156734587,0.388156734587,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299709987753
 01/02  04:00:00,0.919402244108,13.5661288655,0.0,13.2348381314,0.0,0.396283843382,0.396283843382,0.396283843382,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.305710562163
 01/02  05:00:00,0.92227242218,13.844220757,0.0,13.4467612747,0.0,0.402642469349,0.402642469349,0.402642469349,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.372845604882
 01/02  06:00:00,0.979484723658,14.2373157517,0.0,13.5445578197,0.0,0.405600394418,0.405600394418,0.405600394418,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.665290822927
 01/02  07:00:00,1.19794541145,14.6582621606,0.0,13.4145681831,0.0,0.401700237718,0.401700237718,0.401700237718,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21195843406
 01/02  08:00:00,1.51175103032,14.6646201547,0.0,13.2661740913,0.0,0.397202331916,0.397202331916,0.397202331916,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36472467084
 01/02  09:00:00,1.43829362277,13.7062615525,0.0,12.3511018772,0.0,0.369531135322,0.369531135322,0.369531135322,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.3266501857
 01/02  10:00:00,1.22124566463,12.373704103,0.0,11.1416276813,0.0,0.333202237582,0.333202237582,0.333202237582,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20781254061
 01/02  11:00:00,1.20608384894,12.0406059908,0.0,10.9496148381,0.0,0.327716480887,0.327716480887,0.327716480887,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06615662536
 01/02  12:00:00,1.14694099592,9.41497547958,0.0,8.45205107393,0.0,0.25222005629,0.25222005629,0.25222005629,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.938082269681
 01/02  13:00:00,1.10302517261,8.35097055371,0.0,7.48617052057,0.0,0.223653592531,0.223653592531,0.223653592531,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.840376371125
 01/02  14:00:00,1.06110417049,7.61861078447,0.0,6.81178493221,0.0,0.203469100481,0.203469100481,0.203469100481,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.781557633708
 01/02  15:00:00,1.05202051896,7.13528179143,0.0,6.38544566215,0.0,0.190732944142,0.190732944142,0.190732944142,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.723145099269
 01/02  16:00:00,1.12140468443,7.03092945665,0.0,6.2720538085,0.0,0.187349822357,0.187349822357,0.187349822357,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.730700937725
 01/02  17:00:00,1.41974784107,8.20611453326,0.0,7.37009982223,0.0,0.220633591026,0.220633591026,0.220633591026,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.802688966593
 01/02  18:00:00,1.96390791354,10.1477041309,0.0,9.15501611377,0.0,0.274260136095,0.274260136095,0.274260136095,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.952202563692
 01/02  19:00:00,2.2711886075,9.04887592162,0.0,7.91705782034,0.0,0.236316541496,0.236316541496,0.236316541496,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08786311827
 01/02  20:00:00,2.24470299605,9.3426573573,0.0,8.18643076025,0.0,0.244815085478,0.244815085478,0.244815085478,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1108564112
 01/02  21:00:00,2.10930980793,9.95596158603,0.0,8.87972001641,0.0,0.265664492103,0.265664492103,0.265664492103,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02931161719
 01/02  22:00:00,1.96208998325,10.7090710747,0.0,9.73422042356,0.0,0.291301495649,0.291301495649,0.291301495649,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.929016339605
 01/02  23:00:00,1.66112698454,11.2602322561,0.0,10.453292959,0.0,0.312809625514,0.312809625514,0.312809625514,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.767275574331
 01/02  24:00:00,1.36718908764,11.8691055665,0.0,11.242412471,0.0,0.336500959582,0.336500959582,0.336500959582,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.592226058435
 01/03  01:00:00,1.07214539949,12.39288892,0.0,11.9568718252,0.0,0.357925476634,0.357925476634,0.357925476634,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.407507605177
 01/03  02:00:00,0.959898385153,12.8635453752,0.0,12.5140509526,0.0,0.374627231454,0.374627231454,0.374627231454,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.323244692406
 01/03  03:00:00,0.922336821717,13.2460803868,0.0,12.9204922285,0.0,0.386811843874,0.386811843874,0.386811843874,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299642772749
