Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.04424704019,12.1999201804,0.0,11.74772414,0.0,0.323453434256,0.323453434256,0.323453434256,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423686550764
 01/01  02:00:00,0.921651892691,12.4326185427,0.0,12.0738850297,0.0,0.332433714916,0.332433714916,0.332433714916,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.332483782784
 01/01  03:00:00,0.881809725288,12.8149130709,0.0,12.482110717,0.0,0.343673509017,0.343673509017,0.343673509017,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.306856968411
 01/01  04:00:00,0.873132308768,13.0021520616,0.0,12.6628009213,0.0,0.348648503869,0.348648503869,0.348648503869,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.313770968463
 01/01  05:00:00,0.871578998829,13.0979806408,0.0,12.6856600359,0.0,0.349277890382,0.349277890382,0.349277890382,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.387706727497
 01/01  06:00:00,0.927778082208,13.4374793444,0.0,12.7045161219,0.0,0.349797060368,0.349797060368,0.349797060368,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.705496113494
 01/01  07:00:00,1.15544968161,13.9946442181,0.0,12.6602764057,0.0,0.348578995662,0.348578995662,0.348578995662,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30263226902
 01/01  08:00:00,1.50549379583,14.9395333813,0.0,13.4304257,0.0,0.369783735505,0.369783735505,0.369783735505,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47538628876
 01/01  09:00:00,1.44214582299,13.8540196161,0.0,12.3830497299,0.0,0.34094603465,0.34094603465,0.34094603465,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44246039659
 01/01  10:00:00,1.24272105074,12.5858199281,0.0,11.2462631216,0.0,0.309646565229,0.309646565229,0.309646565229,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31529292552
 01/01  11:00:00,1.25813557275,13.1278513372,0.0,11.9437974087,0.0,0.328851975401,0.328851975401,0.328851975401,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.1592194011
 01/01  12:00:00,1.22083396438,10.978128796,0.0,9.93794483379,0.0,0.27362426523,0.27362426523,0.27362426523,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01534182618
