Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.961230652145,9.19101116174,0.0,8.73259577039,0.0,0.240437046209,0.240437046209,0.240437046209,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429905901761
 01/01  02:00:00,0.84358149027,9.60196042357,0.0,9.23839325871,0.0,0.254363312495,0.254363312495,0.254363312495,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337317434659
 01/01  03:00:00,0.796588740967,9.7239624164,0.0,9.38691212355,0.0,0.258452524696,0.258452524696,0.258452524696,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311104907344
 01/01  04:00:00,0.785634371819,9.82828592244,0.0,9.48490414468,0.0,0.26115056692,0.26115056692,0.26115056692,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31780160589
 01/01  05:00:00,0.771206669383,9.45632980616,0.0,9.0401694869,0.0,0.248905560936,0.248905560936,0.248905560936,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391546441801
 01/01  06:00:00,0.822434614451,9.61548696275,0.0,8.87847543691,0.0,0.244453592611,0.244453592611,0.244453592611,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709544416839
 01/01  07:00:00,1.05096408651,10.2038664181,0.0,8.86539337798,0.0,0.244093400556,0.244093400556,0.244093400556,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30673749678
 01/01  08:00:00,1.36034653398,9.67190738473,0.0,8.15872408476,0.0,0.224636473661,0.224636473661,0.224636473661,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47946190743
 01/01  09:00:00,1.29612769437,8.55547940618,0.0,7.07971851504,0.0,0.194927906032,0.194927906032,0.194927906032,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44725140155
 01/01  10:00:00,1.1092377539,7.74308518816,0.0,6.39819294357,0.0,0.176163268388,0.176163268388,0.176163268388,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32062836354
 01/01  11:00:00,1.11892255085,8.07683096554,0.0,6.88762546936,0.0,0.189638953501,0.189638953501,0.189638953501,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16437096882
 01/01  12:00:00,1.08278945238,5.96958729021,0.0,4.92421279606,0.0,0.135579753228,0.135579753228,0.135579753228,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02053235818
 01/01  13:00:00,1.03477245009,4.8445795327,0.0,3.90764722727,0.0,0.107590363925,0.107590363925,0.107590363925,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912508643422
 01/01  14:00:00,0.999447707323,4.43751996918,0.0,3.5674858844,0.0,0.0982246048012,0.0982246048012,0.0982246048012,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844765866234
 01/01  15:00:00,0.994234996829,4.2151681734,0.0,3.40757924759,0.0,0.0938218498321,0.0938218498321,0.0938218498321,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780897895788
 01/01  16:00:00,1.07249104246,4.49856689087,0.0,3.68198739594,0.0,0.101377207526,0.101377207526,0.101377207526,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.788404784509
 01/01  17:00:00,1.353545951,5.20865296303,0.0,4.3043822292,0.0,0.118513781716,0.118513781716,0.118513781716,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870944989401
 01/01  18:00:00,1.88319758201,6.81938731632,0.0,5.74569564137,0.0,0.158197874349,0.158197874349,0.158197874349,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0332062215
 01/01  19:00:00,2.20779542569,6.26980959835,0.0,5.03438094139,0.0,0.138613044147,0.138613044147,0.138613044147,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19147367396
 01/01  20:00:00,2.17535449683,6.39963202591,0.0,5.12913127494,0.0,0.141221832063,0.141221832063,0.141221832063,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22513056512
 01/01  21:00:00,2.02954214931,6.67117635795,0.0,5.48577710105,0.0,0.151041463159,0.151041463159,0.151041463159,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13846930446
 01/01  22:00:00,1.87131868776,7.05769097591,0.0,5.98996247658,0.0,0.164923342685,0.164923342685,0.164923342685,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02189418781
 01/01  23:00:00,1.55303045486,7.28877640828,0.0,6.40751313639,0.0,0.176419883911,0.176419883911,0.176419883911,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841599549119
 01/01  24:00:00,1.23487139542,7.52682635428,0.0,6.85164968641,0.0,0.188648422024,0.188648422024,0.188648422024,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640709630814
 01/02  01:00:00,0.91554651113,7.75399771614,0.0,7.31211658486,0.0,0.20132658827,0.20132658827,0.20132658827,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413371641692
 01/02  02:00:00,0.79680436373,8.03846569373,0.0,7.68281778676,0.0,0.21153321003,0.21153321003,0.21153321003,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32939817676
 01/02  03:00:00,0.754365827265,8.27988590298,0.0,7.94822888644,0.0,0.218840849421,0.218840849421,0.218840849421,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305711631031
 01/02  04:00:00,0.740173180824,8.22082589819,0.0,7.88335942611,0.0,0.217054780097,0.217054780097,0.217054780097,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311886300207
 01/02  05:00:00,0.734348847295,8.20197073501,0.0,7.79852081525,0.0,0.214718894464,0.214718894464,0.214718894464,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378836042306
