Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03559710275,11.8868951231,0.0,11.4335612093,0.0,0.314803496816,0.314803496816,0.314803496816,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424824424312
 01/01  02:00:00,0.913718370161,12.1451816558,0.0,11.7857420568,0.0,0.324500192386,0.324500192386,0.324500192386,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333189868793
 01/01  03:00:00,0.863355483958,12.1453137583,0.0,11.8118586393,0.0,0.325219267688,0.325219267688,0.325219267688,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307509733489
 01/01  04:00:00,0.853651016304,12.2949687082,0.0,11.9552466785,0.0,0.329167211405,0.329167211405,0.329167211405,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314141857825
 01/01  05:00:00,0.853562076248,12.4442811751,0.0,12.0312912337,0.0,0.331260967801,0.331260967801,0.331260967801,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388376063894
 01/01  06:00:00,0.911466686571,12.8457552979,0.0,12.1120915068,0.0,0.333485664731,0.333485664731,0.333485664731,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706196682056
 01/01  07:00:00,1.12866876531,13.022623046,0.0,11.6876021852,0.0,0.321798079353,0.321798079353,0.321798079353,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30328531741
 01/01  08:00:00,1.48054428534,14.0339285386,0.0,12.5242675469,0.0,0.34483422502,0.34483422502,0.34483422502,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47593959923
 01/01  09:00:00,1.42955547148,13.39819043,0.0,11.9257722345,0.0,0.328355683145,0.328355683145,0.328355683145,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44390870598
 01/01  10:00:00,1.23133265383,12.1728803561,0.0,10.8326402285,0.0,0.298258168323,0.298258168323,0.298258168323,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31597624657
 01/01  11:00:00,1.24080453317,12.4989066753,0.0,11.3143396553,0.0,0.31152093582,0.31152093582,0.31152093582,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15973249258
 01/01  12:00:00,1.19999790539,10.2221688334,0.0,9.1811859091,0.0,0.252788206247,0.252788206247,0.252788206247,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01614078834
