Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.906254455998,7.1953692155,0.0,6.73587810348,0.0,0.185460850062,0.185460850062,0.185460850062,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430981622431
 01/01  02:00:00,0.783420928053,7.41821784216,0.0,7.05338109254,0.0,0.194202750278,0.194202750278,0.194202750278,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338587019411
 01/01  03:00:00,0.737714381967,7.58766420899,0.0,7.24861444235,0.0,0.199578165697,0.199578165697,0.199578165697,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313104381136
 01/01  04:00:00,0.724223956843,7.5998239504,0.0,7.25449773049,0.0,0.199740151944,0.199740151944,0.199740151944,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319746048036
 01/01  05:00:00,0.721965517584,7.67016803696,0.0,7.25174677622,0.0,0.199664409137,0.199664409137,0.199664409137,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393807383293
 01/01  06:00:00,0.775250872598,7.90398231901,0.0,7.16477719019,0.0,0.197269850758,0.197269850758,0.197269850758,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711738019823
 01/01  07:00:00,1.00676316702,8.6006227172,0.0,7.26003027488,0.0,0.199892481065,0.199892481065,0.199892481065,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30885689893
 01/01  08:00:00,1.3126386752,7.94104007554,0.0,6.42599008084,0.0,0.176928614885,0.176928614885,0.176928614885,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48132860216
 01/01  09:00:00,1.2659637253,7.46201530756,0.0,5.98417291237,0.0,0.164763936965,0.164763936965,0.164763936965,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44933290561
 01/01  10:00:00,1.09158508454,7.10351150819,0.0,5.75705370064,0.0,0.15851059903,0.15851059903,0.15851059903,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3221939265
 01/01  11:00:00,1.07305915978,6.41214168819,0.0,5.22188193628,0.0,0.143775562436,0.143775562436,0.143775562436,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16542522455
 01/01  12:00:00,1.03543147641,4.25134454457,0.0,3.20418642264,0.0,0.0882217772606,0.0882217772606,0.0882217772606,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02231598595
 01/01  13:00:00,0.990010842247,3.22102987173,0.0,2.28192010442,0.0,0.0628287560785,0.0628287560785,0.0628287560785,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.914686105297
 01/01  14:00:00,0.948004495525,2.5712758119,0.0,1.6990850666,0.0,0.0467813930031,0.0467813930031,0.0467813930031,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846922526748
 01/01  15:00:00,0.936827817178,2.13255205539,0.0,1.32256904591,0.0,0.0364146701813,0.0364146701813,0.0364146701813,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.783291979464
 01/01  16:00:00,1.01251385307,2.32234814441,0.0,1.5036352718,0.0,0.0414000181425,0.0414000181425,0.0414000181425,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.790538162199
 01/01  17:00:00,1.29589831241,3.11768262341,0.0,2.2106386364,0.0,0.0608661431202,0.0608661431202,0.0608661431202,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.873718242575
 01/01  18:00:00,1.84194861616,5.32476115177,0.0,4.24754653982,0.0,0.116948908494,0.116948908494,0.116948908494,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03672915849
 01/01  19:00:00,2.17307129817,5.0116657563,0.0,3.77321185848,0.0,0.103888916632,0.103888916632,0.103888916632,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19449891481
 01/01  20:00:00,2.14851613422,5.42742642229,0.0,4.15437062363,0.0,0.114383469459,0.114383469459,0.114383469459,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22768561281
 01/01  21:00:00,2.00730119891,5.8657220577,0.0,4.67799297442,0.0,0.12880051276,0.12880051276,0.12880051276,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.14079913085
 01/01  22:00:00,1.84936062524,6.26219993167,0.0,5.1924527462,0.0,0.142965280164,0.142965280164,0.142965280164,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02391287395
 01/01  23:00:00,1.53487556961,6.63120354984,0.0,5.74813357468,0.0,0.158264998661,0.158264998661,0.158264998661,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.84340625239
 01/01  24:00:00,1.22325682926,7.1064023532,0.0,6.4298123993,0.0,0.177033855867,0.177033855867,0.177033855867,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.642122916852
