Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.977331468591,9.77336534565,0.0,9.31737221732,0.0,0.256537862654,0.256537862654,0.256537862654,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427483638742
 01/01  02:00:00,0.862108043215,10.2730736301,0.0,9.91127167093,0.0,0.272889865441,0.272889865441,0.272889865441,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335552228969
 01/01  03:00:00,0.818383504807,10.5140431921,0.0,10.1784908986,0.0,0.280247288536,0.280247288536,0.280247288536,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309606907933
 01/01  04:00:00,0.809011644035,10.6755924874,0.0,10.3339591123,0.0,0.284527839136,0.284527839136,0.284527839136,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316053203246
 01/01  05:00:00,0.811176882193,10.906641291,0.0,10.4918746914,0.0,0.288875773746,0.288875773746,0.288875773746,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390152722172
 01/01  06:00:00,0.875520899821,11.541998025,0.0,10.8065521555,0.0,0.297539877981,0.297539877981,0.297539877981,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70797876042
 01/01  07:00:00,1.1071729857,12.2435096029,0.0,10.9068824208,0.0,0.300302299747,0.300302299747,0.300302299747,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3048916387
 01/01  08:00:00,1.41108165641,11.5123752768,0.0,10.0014073258,0.0,0.275371596094,0.275371596094,0.275371596094,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47724655845
 01/01  09:00:00,1.37798448695,11.5262699841,0.0,10.0527307523,0.0,0.276784698612,0.276784698612,0.276784698612,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44502974222
 01/01  10:00:00,1.21262139554,11.495277519,0.0,10.1530533777,0.0,0.279546910028,0.279546910028,0.279546910028,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31796026021
 01/01  11:00:00,1.22972761718,12.0977564256,0.0,10.9120296484,0.0,0.300444019829,0.300444019829,0.300444019829,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16089224985
 01/01  12:00:00,1.20986395646,10.5813702326,0.0,9.53951769364,0.0,0.262654257316,0.262654257316,0.262654257316,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01701040298
 01/01  13:00:00,1.17603253585,9.97061209409,0.0,9.03816786387,0.0,0.248850449679,0.248850449679,0.248850449679,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908020568206
 01/01  14:00:00,1.12872409382,9.12783679265,0.0,8.26276243886,0.0,0.227500991293,0.227500991293,0.227500991293,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.839806135238
 01/01  15:00:00,1.11358482247,8.54490837399,0.0,7.74232632175,0.0,0.213171675471,0.213171675471,0.213171675471,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.775891022231
 01/01  16:00:00,1.17157861629,8.09229469102,0.0,7.28081603645,0.0,0.200464781357,0.200464781357,0.200464781357,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78330394415
 01/01  17:00:00,1.43107988918,8.01927836052,0.0,7.12038979218,0.0,0.196047719888,0.196047719888,0.196047719888,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865562823912
 01/01  18:00:00,1.94719896925,9.13940193352,0.0,8.07020533024,0.0,0.222199261585,0.222199261585,0.222199261585,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02871114983
 01/01  19:00:00,2.25076616728,7.82719210439,0.0,6.59506438108,0.0,0.181583785742,0.181583785742,0.181583785742,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1881727403
 01/01  20:00:00,2.20908648277,7.62131929355,0.0,6.35426609675,0.0,0.174953818005,0.174953818005,0.174953818005,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22168301094
 01/01  21:00:00,2.06412393551,7.92414104251,0.0,6.74177639356,0.0,0.185623249362,0.185623249362,0.185623249362,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13543469652
 01/01  22:00:00,1.90126569332,8.14275131278,0.0,7.0776280348,0.0,0.194870348244,0.194870348244,0.194870348244,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01928896646
 01/01  23:00:00,1.5825873319,8.35978745048,0.0,7.48100935278,0.0,0.205976760947,0.205976760947,0.205976760947,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839114374931
 01/01  24:00:00,1.26892223279,8.76128501297,0.0,8.088365089,0.0,0.222699259394,0.222699259394,0.222699259394,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638452886924
 01/02  01:00:00,0.954382459055,9.1622478069,0.0,8.72262565548,0.0,0.240162536196,0.240162536196,0.240162536196,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411112661838
 01/02  02:00:00,0.840576610621,9.62595714774,0.0,9.27261163964,0.0,0.255305456922,0.255305456922,0.255305456922,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327095777899
 01/02  03:00:00,0.801513229418,9.99014389979,0.0,9.66060728701,0.0,0.265988251574,0.265988251574,0.265988251574,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303591227275
