Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.902031551925,7.04160454133,0.0,6.58250359306,0.0,0.181237945988,0.181237945988,0.181237945988,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430591458689
 01/01  02:00:00,0.782542577465,7.3866587162,0.0,7.02147968322,0.0,0.19332439969,0.19332439969,0.19332439969,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.338929302775
 01/01  03:00:00,0.737952835958,7.59568651925,0.0,7.25727501419,0.0,0.199816619687,0.199816619687,0.199816619687,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312466119565
 01/01  04:00:00,0.728314137952,7.74803129926,0.0,7.40305178575,0.0,0.203830333053,0.203830333053,0.203830333053,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319399341635
 01/01  05:00:00,0.728048725987,7.8906588553,0.0,7.47268693836,0.0,0.20574761754,0.20574761754,0.20574761754,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39335803949
 01/01  06:00:00,0.786017519037,8.2945107195,0.0,7.55581830736,0.0,0.208036497197,0.208036497197,0.208036497197,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711225303142
 01/01  07:00:00,1.01060241138,8.73954748814,0.0,7.39947038882,0.0,0.203731725431,0.203731725431,0.203731725431,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30834155594
 01/01  08:00:00,1.34891659923,9.25830152436,0.0,7.74359255049,0.0,0.213206538907,0.213206538907,0.213206538907,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48098758133
 01/01  09:00:00,1.29824689166,8.63373975004,0.0,7.15668707558,0.0,0.197047103328,0.197047103328,0.197047103328,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44854318487
 01/01  10:00:00,1.12776439728,8.41636483262,0.0,7.07107464058,0.0,0.194689911775,0.194689911775,0.194689911775,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32102631099
