Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.06673716817,13.0161278538,0.0,12.5645583156,0.0,0.34594356223,0.34594356223,0.34594356223,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423060048632
 01/01  02:00:00,0.954294235655,13.6171090233,0.0,13.2594443709,0.0,0.365076057881,0.365076057881,0.365076057881,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331414922115
 01/01  03:00:00,0.906009161897,13.6924771062,0.0,13.3610264295,0.0,0.367872945626,0.367872945626,0.367872945626,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305505291248
 01/01  04:00:00,0.898943501284,13.9381589988,0.0,13.6002550871,0.0,0.374459696385,0.374459696385,0.374459696385,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.312323739837
 01/01  05:00:00,0.900060368255,14.1310847497,0.0,13.7200941637,0.0,0.377759259808,0.377759259808,0.377759259808,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386376708565
 01/01  06:00:00,0.951531957635,14.2989495263,0.0,13.5672491964,0.0,0.373550935795,0.373550935795,0.373550935795,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704233220921
 01/01  07:00:00,1.19922312716,15.5832189988,0.0,14.2501137932,0.0,0.392352441205,0.392352441205,0.392352441205,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3013696622
 01/01  08:00:00,1.52738693775,15.733567798,0.0,14.2255775354,0.0,0.391676877433,0.391676877433,0.391676877433,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47426887002
 01/01  09:00:00,1.4665527567,14.7393390162,0.0,13.2695016702,0.0,0.365352968365,0.365352968365,0.365352968365,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4413278564
 01/01  10:00:00,1.28492645583,14.1174077147,0.0,12.779149787,0.0,0.351851970322,0.351851970322,0.351851970322,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3139940467
 01/01  11:00:00,1.29314492884,14.3978476866,0.0,13.2153259013,0.0,0.363861331492,0.363861331492,0.363861331492,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15768725789
 01/01  12:00:00,1.26252067787,12.4909612142,0.0,11.4519927881,0.0,0.315310978725,0.315310978725,0.315310978725,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01412629013
 01/01  13:00:00,1.21274941478,11.3016318126,0.0,10.371713034,0.0,0.285567328614,0.285567328614,0.285567328614,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905495116623
 01/01  14:00:00,1.17421298834,10.7776189668,0.0,9.91490437885,0.0,0.272989885822,0.272989885822,0.272989885822,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.837446369441
 01/01  15:00:00,1.15323359148,9.98277275563,0.0,9.18235679126,0.0,0.252820444479,0.252820444479,0.252820444479,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.773724934357
