Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.07533030361,13.3286945239,0.0,12.8766582162,0.0,0.354536697672,0.354536697672,0.354536697672,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.423526818116
 01/01  02:00:00,0.946780295303,13.3445613316,0.0,12.9865404871,0.0,0.357562117529,0.357562117529,0.357562117529,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.331771114368
 01/01  03:00:00,0.887274032598,13.0121896394,0.0,12.6805725915,0.0,0.349137816328,0.349137816328,0.349137816328,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.305671662324
 01/01  04:00:00,0.868553012653,12.834672083,0.0,12.4964823672,0.0,0.344069207755,0.344069207755,0.344069207755,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31260954392
 01/01  05:00:00,0.865906213958,12.8910875373,0.0,12.4796263237,0.0,0.343605105511,0.343605105511,0.343605105511,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.386847336084
 01/01  06:00:00,0.924965314156,13.3347243774,0.0,12.6023572958,0.0,0.346984292316,0.346984292316,0.346984292316,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.704899972573
 01/01  07:00:00,1.15140024075,13.8470042875,0.0,12.5132020228,0.0,0.344529554795,0.344529554795,0.344529554795,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30206672132
 01/01  08:00:00,1.49844535521,14.6829849763,0.0,13.1744286159,0.0,0.362735294887,0.362735294887,0.362735294887,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47483496783
 01/01  09:00:00,1.45026199566,14.1485953153,0.0,12.6778264969,0.0,0.349062207323,0.349062207323,0.349062207323,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44225932879
 01/01  10:00:00,1.26733438475,13.4790241896,0.0,12.140211454,0.0,0.334259899244,0.334259899244,0.334259899244,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31454885459
 01/01  11:00:00,1.31375616033,15.1467538064,0.0,13.9639191642,0.0,0.384472562982,0.384472562982,0.384472562982,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15800011488
 01/01  12:00:00,1.29142993098,13.5406056443,0.0,12.5019675129,0.0,0.344220231835,0.344220231835,0.344220231835,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01379599542
 01/01  13:00:00,1.26391779956,13.1579913891,0.0,12.2301322234,0.0,0.336735713396,0.336735713396,0.336735713396,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.903435503692
 01/01  14:00:00,1.24057681078,13.1866209789,0.0,12.3252169503,0.0,0.33935370826,0.33935370826,0.33935370826,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.836135809991
 01/01  15:00:00,1.23113995308,12.8110084712,0.0,12.0118906528,0.0,0.330726806082,0.330726806082,0.330726806082,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.772426788365
 01/01  16:00:00,1.30622551009,12.9783629403,0.0,12.1711476798,0.0,0.33511167516,0.33511167516,0.33511167516,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.77904054999
 01/01  17:00:00,1.5679784742,12.9872049571,0.0,12.0925021327,0.0,0.332946304913,0.332946304913,0.332946304913,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.861377080045
 01/01  18:00:00,2.10170616329,14.7464247199,0.0,13.6818566561,0.0,0.376706455622,0.376706455622,0.376706455622,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02408261036
 01/01  19:00:00,2.39845095372,13.1862411995,0.0,11.9589280689,0.0,0.329268572176,0.329268572176,0.329268572176,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18335814759
 01/01  20:00:00,2.35377600155,12.8700153851,0.0,11.609342632,0.0,0.319643336787,0.319643336787,0.319643336787,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21530256727
 01/01  21:00:00,2.19163421755,12.5497656528,0.0,11.3729086053,0.0,0.313133531398,0.313133531398,0.313133531398,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.12992709506
 01/01  22:00:00,2.01989952176,12.4463667604,0.0,11.3863703224,0.0,0.313504176689,0.313504176689,0.313504176689,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01416212653
 01/01  23:00:00,1.69183170551,12.3226471546,0.0,11.4487296768,0.0,0.315221134552,0.315221134552,0.315221134552,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.834253755087
 01/01  24:00:00,1.365693119,12.2712326153,0.0,11.6030523843,0.0,0.319470145606,0.319470145606,0.319470145606,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.633713193931
 01/02  01:00:00,1.04428220243,12.4231330126,0.0,11.9877552647,0.0,0.330062279568,0.330062279568,0.330062279568,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.40686825831
 01/02  02:00:00,0.920473045403,12.5239173907,0.0,12.1744243155,0.0,0.335201891703,0.335201891703,0.335201891703,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.323243344985
 01/02  03:00:00,0.86949282222,12.4553739541,0.0,12.1296041157,0.0,0.333967844376,0.333967844376,0.333967844376,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.299824452967
 01/02  04:00:00,0.861100437987,12.6072591654,0.0,12.2753983032,0.0,0.33798203726,0.33798203726,0.33798203726,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.306280690347
 01/02  05:00:00,0.857601313763,12.6731764263,0.0,12.2750105424,0.0,0.337971360932,0.337971360932,0.337971360932,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.373552006464
 01/02  06:00:00,0.91315012593,13.0155974572,0.0,12.3220240305,0.0,0.33926579669,0.33926579669,0.33926579669,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.666106317652
 01/02  07:00:00,1.13325772185,13.4848233239,0.0,12.2401867709,0.0,0.337012548114,0.337012548114,0.337012548114,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21290100968
 01/02  08:00:00,1.44344049913,13.3446164211,0.0,11.9452438519,0.0,0.328891800732,0.328891800732,0.328891800732,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36565117671
 01/02  09:00:00,1.39839494071,13.3283076689,0.0,11.9721441125,0.0,0.329632453268,0.329632453268,0.329632453268,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32765406676
 01/02  10:00:00,1.21591577597,13.1413386109,0.0,11.9082176919,0.0,0.327872348924,0.327872348924,0.327872348924,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.20885703798
 01/02  11:00:00,1.25381591002,14.7276988181,0.0,13.6361696389,0.0,0.375448541966,0.375448541966,0.375448541966,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06669465186
 01/02  12:00:00,1.24198311603,13.5756956616,0.0,12.6124499561,0.0,0.347262176406,0.347262176406,0.347262176406,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.938403569513
 01/02  13:00:00,1.20475977668,12.6807506176,0.0,11.8179940827,0.0,0.3253881966,0.3253881966,0.3253881966,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.838332872851
 01/02  14:00:00,1.18177209115,12.5767833677,0.0,11.7725517948,0.0,0.324137021145,0.324137021145,0.324137021145,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.778963354344
 01/02  15:00:00,1.18394826203,12.466133025,0.0,11.7189318237,0.0,0.322660687212,0.322660687212,0.322660687212,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.720510171237
 01/02  16:00:00,1.25773336033,12.5117243018,0.0,11.7558983918,0.0,0.323678498257,0.323678498257,0.323678498257,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.727651199632
 01/02  17:00:00,1.51419333821,12.275366727,0.0,11.4435705982,0.0,0.315079088173,0.315079088173,0.315079088173,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.798470384318
 01/02  18:00:00,2.04535778603,13.9086352204,0.0,12.919272489,0.0,0.355710008582,0.355710008582,0.355710008582,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.948877277888
 01/02  19:00:00,2.38919578063,13.9995664947,0.0,12.8689227409,0.0,0.354323714628,0.354323714628,0.354323714628,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.08668877078
 01/02  20:00:00,2.30690765572,12.3033265686,0.0,11.1508578655,0.0,0.307019745145,0.307019745145,0.307019745145,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.10709851727
 01/02  21:00:00,2.14629001055,12.0639606951,0.0,10.9919574491,0.0,0.302644694728,0.302644694728,0.302644694728,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.02507329352
 01/02  22:00:00,1.97222190028,11.9204744222,0.0,10.9479640765,0.0,0.301433412671,0.301433412671,0.301433412671,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.926676034151
 01/02  23:00:00,1.65280256691,11.8644121416,0.0,11.0588042915,0.0,0.304485207878,0.304485207878,0.304485207878,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.765944127332
 01/02  24:00:00,1.35971116986,12.5757381085,0.0,11.9500104851,0.0,0.329023041802,0.329023041802,0.329023041802,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.59126058639
 01/03  01:00:00,1.06118552363,13.0371978868,0.0,12.6016784249,0.0,0.34696560077,0.34696560077,0.34696560077,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.407009972299
