Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.936307244922,8.28669949492,0.0,7.82738567931,0.0,0.215513638986,0.215513638986,0.215513638986,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430804326026
 01/01  02:00:00,0.817714793002,8.66299418133,0.0,8.29892317821,0.0,0.228496615227,0.228496615227,0.228496615227,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33782127292
 01/01  03:00:00,0.768863108355,8.71695662252,0.0,8.37992611246,0.0,0.230726892084,0.230726892084,0.230726892084,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311085124559
 01/01  04:00:00,0.75619100488,8.75935677047,0.0,8.41553057831,0.0,0.231707199982,0.231707199982,0.231707199982,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318246020295
 01/01  05:00:00,0.756845069553,8.93552307281,0.0,8.51856082507,0.0,0.234543961106,0.234543961106,0.234543961106,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392348370291
 01/01  06:00:00,0.801430674582,8.85310308445,0.0,8.11561913275,0.0,0.223449652742,0.223449652742,0.223449652742,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710016842703
 01/01  07:00:00,1.02894534686,9.40462168412,0.0,8.06567987376,0.0,0.222074660903,0.222074660903,0.222074660903,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30720626697
 01/01  08:00:00,1.33641307712,8.80317540985,0.0,7.2894686708,0.0,0.200703016803,0.200703016803,0.200703016803,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47998534651
 01/01  09:00:00,1.28995613091,8.33209399428,0.0,6.85556932574,0.0,0.18875634257,0.18875634257,0.18875634257,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44801517895
 01/01  10:00:00,1.12547095467,8.33294067172,0.0,6.98777754625,0.0,0.192396469155,0.192396469155,0.192396469155,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32089924442
 01/01  11:00:00,1.14176243854,8.90599635821,0.0,7.71716280494,0.0,0.212478841197,0.212478841197,0.212478841197,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16399902591
 01/01  12:00:00,1.10464105645,6.76276957398,0.0,5.71785599013,0.0,0.157431357303,0.157431357303,0.157431357303,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02007144788
 01/01  13:00:00,1.07688145086,6.37301327801,0.0,5.43703251856,0.0,0.149699364688,0.149699364688,0.149699364688,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911557097436
 01/01  14:00:00,1.02493422086,5.36199970978,0.0,4.4931478146,0.0,0.123711118335,0.123711118335,0.123711118335,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843583676623
 01/01  15:00:00,1.01862903623,5.10022405445,0.0,4.29356287049,0.0,0.118215889231,0.118215889231,0.118215889231,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779970153939
 01/01  16:00:00,1.08895940549,5.09604545208,0.0,4.28011301608,0.0,0.117845570559,0.117845570559,0.117845570559,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787757725582
 01/01  17:00:00,1.35943265395,5.42151518158,0.0,4.5181853768,0.0,0.124400484665,0.124400484665,0.124400484665,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870004060352
 01/01  18:00:00,1.87576852708,6.54894458228,0.0,5.47587476857,0.0,0.150768819419,0.150768819419,0.150768819419,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03258436026
 01/01  19:00:00,2.19834131552,5.92640525172,0.0,4.69101071712,0.0,0.129158933977,0.129158933977,0.129158933977,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1914395516
 01/01  20:00:00,2.15840866763,5.78399275781,0.0,4.51366423821,0.0,0.124276002869,0.124276002869,0.124276002869,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22495833375
 01/01  21:00:00,2.00814589009,5.8943475339,0.0,4.70867188482,0.0,0.129645203937,0.129645203937,0.129645203937,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13874569665
 01/01  22:00:00,1.84707528849,6.17776363018,0.0,5.10945005447,0.0,0.140679943415,0.140679943415,0.140679943415,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.0224792642
 01/01  23:00:00,1.53045396045,6.46947544427,0.0,5.58754215971,0.0,0.1538433895,0.1538433895,0.1538433895,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.842269561797
 01/01  24:00:00,1.20512654954,6.44700730836,0.0,5.77132650228,0.0,0.158903576142,0.158903576142,0.158903576142,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.64121376903
 01/02  01:00:00,0.884146475249,6.61394986942,0.0,6.1716774352,0.0,0.169926552389,0.169926552389,0.169926552389,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41376294463
 01/02  02:00:00,0.764582170964,6.86864697806,0.0,6.51251816489,0.0,0.179311017264,0.179311017264,0.179311017264,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329879082963
 01/02  03:00:00,0.719841873142,7.02679014639,0.0,6.69433003638,0.0,0.184316895298,0.184316895298,0.184316895298,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306514724505
 01/02  04:00:00,0.711390024257,7.17640239518,0.0,6.83796448696,0.0,0.18827162353,0.18827162353,0.18827162353,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.312857736348
 01/02  05:00:00,0.706535669326,7.19276499145,0.0,6.7883551851,0.0,0.186905716495,0.186905716495,0.186905716495,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.379795928897
 01/02  06:00:00,0.757970587474,7.38571374173,0.0,6.68595337279,0.0,0.184086258234,0.184086258234,0.184086258234,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.672293259951
 01/02  07:00:00,0.984167654258,8.07618110362,0.0,6.82528372585,0.0,0.187922480523,0.187922480523,0.187922480523,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21916183439
 01/02  08:00:00,1.2912532543,7.82338903994,0.0,6.41785233097,0.0,0.1767045559,0.1767045559,0.1767045559,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37181531643
 01/02  09:00:00,1.23898563904,7.54507867497,0.0,6.18244982266,0.0,0.170223151601,0.170223151601,0.170223151601,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33411936272
 01/02  10:00:00,1.03696276954,6.64820997624,0.0,5.4087023649,0.0,0.148919342499,0.148919342499,0.148919342499,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21524373029
 01/02  11:00:00,1.02370532564,6.37701264694,0.0,5.27862762268,0.0,0.145337957579,0.145337957579,0.145337957579,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07355049691
 01/02  12:00:00,1.00627553786,5.02258150362,0.0,4.05162693538,0.0,0.111554598231,0.111554598231,0.111554598231,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.946112432262
 01/02  13:00:00,0.958586200871,3.74889406623,0.0,2.87704941233,0.0,0.0792146207938,0.0792146207938,0.0792146207938,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.847420991883
 01/02  14:00:00,0.922388919341,3.16609354504,0.0,2.35183886894,0.0,0.0647538493335,0.0647538493335,0.0647538493335,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788986457548
 01/02  15:00:00,0.921056409152,2.92788647592,0.0,2.17078473599,0.0,0.0597688343305,0.0597688343305,0.0597688343305,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.730410709914
 01/02  16:00:00,1.00152565877,3.21666599615,0.0,2.45051751843,0.0,0.0674707966917,0.0674707966917,0.0674707966917,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.737973767297
 01/02  17:00:00,1.26892250605,3.37740404334,0.0,2.5354132849,0.0,0.0698082560065,0.0698082560065,0.0698082560065,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.808665014002
 01/02  18:00:00,1.77623929704,4.14415405421,0.0,3.14497599139,0.0,0.0865915195951,0.0865915195951,0.0865915195951,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.958692609362
 01/02  19:00:00,2.10604921278,3.72511203507,0.0,2.58513095506,0.0,0.0711771467774,0.0711771467774,0.0711771467774,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.096026097
 01/02  20:00:00,2.07459791605,3.87642396312,0.0,2.71344324073,0.0,0.0747100054795,0.0747100054795,0.0747100054795,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11761053653
 01/02  21:00:00,1.92141794309,3.90796982709,0.0,2.82467667372,0.0,0.077772627267,0.077772627267,0.077772627267,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03636320094
 01/02  22:00:00,1.75436899113,4.01781745122,0.0,3.03561686145,0.0,0.0835805035272,0.0835805035272,0.0835805035272,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.936366278249
 01/02  23:00:00,1.44134478432,4.19345538869,0.0,3.37872600499,0.0,0.0930274252865,0.0930274252865,0.0930274252865,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.775065660935
 01/02  24:00:00,1.12985690329,4.23650803255,0.0,3.601777849,0.0,0.0991687752284,0.0991687752284,0.0991687752284,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.600263146499
 01/03  01:00:00,0.819171315984,4.25614210419,0.0,3.81180066113,0.0,0.104951393125,0.104951393125,0.104951393125,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.415831953469
 01/03  02:00:00,0.698451263492,4.46864559211,0.0,4.11066498967,0.0,0.113180109793,0.113180109793,0.113180109793,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.331730872241
 01/03  03:00:00,0.648007580239,4.41980541423,0.0,4.08533174656,0.0,0.112482602396,0.112482602396,0.112482602396,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.308528282171
 01/03  04:00:00,0.637543665187,4.4961992217,0.0,4.15588860455,0.0,0.11442526446,0.11442526446,0.11442526446,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.314730445288
 01/03  05:00:00,0.632519034977,4.50666314493,0.0,4.10009495964,0.0,0.112889082146,0.112889082146,0.112889082146,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.381954307835
 01/03  06:00:00,0.687366374773,4.82425337016,0.0,4.12163119813,0.0,0.113482045533,0.113482045533,0.113482045533,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.675155063029
 01/03  07:00:00,0.898483905471,4.9681420934,0.0,3.71327767667,0.0,0.102238731736,0.102238731736,0.102238731736,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22312887334
 01/03  08:00:00,1.21818824026,5.17412087554,0.0,3.76415464727,0.0,0.103639541857,0.103639541857,0.103639541857,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37624483574
 01/03  09:00:00,1.16641924492,4.91402473126,0.0,3.54686185324,0.0,0.097656757478,0.097656757478,0.097656757478,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33865338844
 01/03  10:00:00,0.984429609602,4.74454784065,0.0,3.50071498298,0.0,0.0963861825576,0.0963861825576,0.0963861825576,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21956897662
 01/03  11:00:00,1.02372251638,6.38213456241,0.0,5.27925198487,0.0,0.145355148321,0.145355148321,0.145355148321,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07804805019
 01/03  12:00:00,1.03584786168,6.09933013185,0.0,5.12568417408,0.0,0.141126922054,0.141126922054,0.141126922054,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.948803821802
 01/03  13:00:00,1.03230743339,6.42806518507,0.0,5.55458073878,0.0,0.15293585331,0.15293585331,0.15293585331,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.849060784273
 01/03  14:00:00,1.02252100049,6.80288417712,0.0,5.98860367752,0.0,0.164885930484,0.164885930484,0.164885930484,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.789012281047
 01/03  15:00:00,1.03080697907,6.91327599081,0.0,6.1568899463,0.0,0.169519404246,0.169519404246,0.169519404246,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.729695014494
 01/03  16:00:00,1.10904234566,7.12026650402,0.0,6.35548881963,0.0,0.174987483583,0.174987483583,0.174987483583,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.736602973976
 01/03  17:00:00,1.38072382491,7.43662243284,0.0,6.59600103392,0.0,0.181609574871,0.181609574871,0.181609574871,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.807295654487
 01/03  18:00:00,1.90215780882,8.71634789364,0.0,7.71829562215,0.0,0.212510031376,0.212510031376,0.212510031376,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.957566818032
 01/03  19:00:00,2.2135043566,7.62655624678,0.0,6.48786703177,0.0,0.178632290596,0.178632290596,0.178632290596,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09473423201
 01/03  20:00:00,2.17207435421,7.41541821073,0.0,6.25375595468,0.0,0.17218644364,0.17218644364,0.17218644364,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11629207019
 01/03  21:00:00,2.01728587943,7.38880692122,0.0,6.3065691217,0.0,0.173640563608,0.173640563608,0.173640563608,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03530784709
 01/03  22:00:00,1.84682001746,7.3748918421,0.0,6.39340824276,0.0,0.176031529858,0.176031529858,0.176031529858,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.935649287825
 01/03  23:00:00,1.5305997496,7.43394747829,0.0,6.62043748254,0.0,0.18228239057,0.18228239057,0.18228239057,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.773846272983
 01/03  24:00:00,1.22048591192,7.5264955286,0.0,6.89339413683,0.0,0.189797783865,0.189797783865,0.189797783865,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.598634354721
 01/04  01:00:00,0.911789354901,7.61825869062,0.0,7.17565788555,0.0,0.197569432042,0.197569432042,0.197569432042,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41409131548
 01/04  02:00:00,0.786453947188,7.66310928798,0.0,7.30689400489,0.0,0.201182793489,0.201182793489,0.201182793489,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329965552891
 01/04  03:00:00,0.737263712899,7.65942696901,0.0,7.32708562282,0.0,0.201738735055,0.201738735055,0.201738735055,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.306395960682
 01/04  04:00:00,0.725020478877,7.67140598218,0.0,7.3330181912,0.0,0.20190207815,0.20190207815,0.20190207815,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.31280761911
 01/04  05:00:00,0.721151022153,7.72405055945,0.0,7.31918007375,0.0,0.201521069322,0.201521069322,0.201521069322,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.380256608243
 01/04  06:00:00,0.770747984909,7.851482124,0.0,7.15002431593,0.0,0.196863655669,0.196863655669,0.196863655669,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.673990699074
 01/04  07:00:00,1.00106393452,8.69364939181,0.0,7.43895116145,0.0,0.204818760788,0.204818760788,0.204818760788,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22296268697
 01/04  08:00:00,1.31998756193,8.87167311818,0.0,7.46147309261,0.0,0.205438863532,0.205438863532,0.205438863532,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37647863304
 01/04  09:00:00,1.26323417078,8.42991173351,0.0,7.06314865411,0.0,0.194471683332,0.194471683332,0.194471683332,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33825358981
 01/04  10:00:00,1.08150325026,8.26951109038,0.0,7.02639822196,0.0,0.193459823218,0.193459823218,0.193459823218,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21884898737
 01/04  11:00:00,1.07198918411,8.13364603053,0.0,7.03228174922,0.0,0.19362181605,0.19362181605,0.19362181605,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07652975395
 01/04  12:00:00,1.08717525681,7.96296619262,0.0,6.98987856769,0.0,0.192454317177,0.192454317177,0.192454317177,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.948245488953
 01/04  13:00:00,1.06914827458,7.76514967371,0.0,6.89262817796,0.0,0.189776694502,0.189776694502,0.189776694502,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.848097833731
 01/04  14:00:00,1.04654438619,7.67443051865,0.0,6.8611252779,0.0,0.188909316183,0.188909316183,0.188909316183,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.788037022205
 01/04  15:00:00,1.04842943832,7.55259725991,0.0,6.79693196785,0.0,0.187141863496,0.187141863496,0.187141863496,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.728974262044
