Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.91552779772,7.53062815267,0.0,7.07268287617,0.0,0.194734191783,0.194734191783,0.194734191783,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429435786921
 01/01  02:00:00,0.791582689759,7.71394095878,0.0,7.34981363851,0.0,0.202364511984,0.202364511984,0.202364511984,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337877590068
 01/01  03:00:00,0.744727754357,7.84155975864,0.0,7.50333785969,0.0,0.206591538086,0.206591538086,0.206591538086,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312276513446
 01/01  04:00:00,0.734821145199,7.98410446088,0.0,7.63938418486,0.0,0.2103373403,0.2103373403,0.2103373403,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.319140104158
 01/01  05:00:00,0.734721302402,8.13285637302,0.0,7.71503275609,0.0,0.212420193955,0.212420193955,0.212420193955,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39320973948
 01/01  06:00:00,0.790256276608,8.44831775859,0.0,7.70976861167,0.0,0.212275254768,0.212275254768,0.212275254768,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711082037919
 01/01  07:00:00,1.01295212721,8.82474609239,0.0,7.48481130797,0.0,0.206081441262,0.206081441262,0.206081441262,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30819924104
 01/01  08:00:00,1.34456246337,9.10024892994,0.0,7.5854517441,0.0,0.20885240305,0.20885240305,0.20885240305,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48107579329
 01/01  09:00:00,1.31087810923,9.09303631685,0.0,7.61544881313,0.0,0.209678320894,0.209678320894,0.209678320894,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44907801414
 01/01  10:00:00,1.14195270854,8.93186377387,0.0,7.58638951737,0.0,0.208878223028,0.208878223028,0.208878223028,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32121037545
 01/01  11:00:00,1.17166908013,9.99245857781,0.0,8.80336235683,0.0,0.242385482786,0.242385482786,0.242385482786,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16426169362
 01/01  12:00:00,1.15573987074,8.61869010988,0.0,7.57374840169,0.0,0.20853017159,0.20853017159,0.20853017159,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02009957222
 01/01  13:00:00,1.09983797789,7.20622206306,0.0,6.27080615719,0.0,0.172655891722,0.172655891722,0.172655891722,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910992243859
 01/01  14:00:00,1.07788183731,7.28514476029,0.0,6.41618812283,0.0,0.176658734783,0.176658734783,0.176658734783,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843688418911
 01/01  15:00:00,1.07662690229,7.20631220264,0.0,6.40002661153,0.0,0.17621375529,0.17621375529,0.17621375529,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779594561094
 01/01  16:00:00,1.14671961695,7.19227479216,0.0,6.37794521881,0.0,0.175605782016,0.175605782016,0.175605782016,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786154862925
 01/01  17:00:00,1.41220788045,7.33669394139,0.0,6.43496453792,0.0,0.177175711167,0.177175711167,0.177175711167,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.868403659044
 01/01  18:00:00,1.93020925592,8.52469805575,0.0,7.45314443607,0.0,0.20520954826,0.20520954826,0.20520954826,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03106816623
 01/01  19:00:00,2.2386364067,7.38862111895,0.0,6.15451539894,0.0,0.169454025157,0.169454025157,0.169454025157,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.190150737
 01/01  20:00:00,2.19635015901,7.16033479174,0.0,5.89168693616,0.0,0.162217494244,0.162217494244,0.162217494244,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22327766973
