Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03403181639,11.8299577176,0.0,11.3767105147,0.0,0.313238210453,0.313238210453,0.313238210453,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424737713341
 01/01  02:00:00,0.915986216071,12.2274366434,0.0,11.8681094869,0.0,0.326768038296,0.326768038296,0.326768038296,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333077426199
 01/01  03:00:00,0.869226674743,12.3586111792,0.0,12.0250983901,0.0,0.331090458472,0.331090458472,0.331090458472,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.307567403674
 01/01  04:00:00,0.854929006633,12.3415056261,0.0,12.001662874,0.0,0.330445201734,0.330445201734,0.330445201734,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.31426258031
 01/01  05:00:00,0.860899750848,12.7108682176,0.0,12.2977932025,0.0,0.338598642401,0.338598642401,0.338598642401,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388461137639
 01/01  06:00:00,0.921491112009,13.2101055867,0.0,12.4761753972,0.0,0.343510090168,0.343510090168,0.343510090168,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70646308047
 01/01  07:00:00,1.16879619902,14.4802866123,0.0,13.1450176023,0.0,0.361925513072,0.361925513072,0.361925513072,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3035334667
 01/01  08:00:00,1.49348492891,14.5041327698,0.0,12.9942675368,0.0,0.357774868589,0.357774868589,0.357774868589,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47614384047
 01/01  09:00:00,1.41649766305,12.9230108421,0.0,11.4515168548,0.0,0.315297874718,0.315297874718,0.315297874718,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44298449774
 01/01  10:00:00,1.2208124711,11.7910269609,0.0,10.4505505936,0.0,0.287737985593,0.287737985593,0.287737985593,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31621248631
 01/01  11:00:00,1.26402709853,13.3429724349,0.0,12.1577757199,0.0,0.334743501179,0.334743501179,0.334743501179,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16036218768
 01/01  12:00:00,1.24077778727,11.7031567147,0.0,10.6622980322,0.0,0.293568088121,0.293568088121,0.293568088121,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01601654658
 01/01  13:00:00,1.2129304751,11.3080099406,0.0,10.3782890862,0.0,0.285748388933,0.285748388933,0.285748388933,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.905297192322
 01/01  14:00:00,1.17442698184,10.7863444503,0.0,9.92267655357,0.0,0.273203879322,0.273203879322,0.273203879322,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.838399678206
 01/01  15:00:00,1.155855832,10.078876446,0.0,9.27759571909,0.0,0.255442685001,0.255442685001,0.255442685001,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.774589696918
 01/01  16:00:00,1.22145394399,9.90243185814,0.0,9.09227181105,0.0,0.250340109064,0.250340109064,0.250340109064,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.781985336672
 01/01  17:00:00,1.48968262051,10.1465850814,0.0,9.24882204438,0.0,0.254650451221,0.254650451221,0.254650451221,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.864437292593
 01/01  18:00:00,2.02605048513,12.0018279624,0.0,10.9340668897,0.0,0.30105077747,0.30105077747,0.30105077747,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02727561923
 01/01  19:00:00,2.32619326938,10.5643558577,0.0,9.33455233914,0.0,0.257010887841,0.257010887841,0.257010887841,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18584853553
 01/01  20:00:00,2.29027479365,10.5683736644,0.0,9.3029992947,0.0,0.256142128882,0.256142128882,0.256142128882,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22000418387
 01/01  21:00:00,2.14066545359,10.7019825273,0.0,9.52173957943,0.0,0.262164767435,0.262164767435,0.262164767435,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1333129954
 01/01  22:00:00,1.97638376338,10.8686338359,0.0,9.80589204911,0.0,0.269988418303,0.269988418303,0.269988418303,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01690747525
 01/01  23:00:00,1.67309434436,11.644983706,0.0,10.768194779,0.0,0.29648377341,0.29648377341,0.29648377341,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.837125204192
 01/01  24:00:00,1.35189004294,11.7722754197,0.0,11.1017291251,0.0,0.305667069545,0.305667069545,0.305667069545,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636079257498
 01/02  01:00:00,1.02925366137,11.878878186,0.0,11.441923513,0.0,0.315033738507,0.315033738507,0.315033738507,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.408445183357
 01/02  02:00:00,0.903630680642,11.913755898,0.0,11.5627150736,0.0,0.318359526942,0.318359526942,0.318359526942,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.324791094195
 01/02  03:00:00,0.85972656388,12.1021865568,0.0,11.7748967708,0.0,0.324201586036,0.324201586036,0.324201586036,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301344400576
 01/02  04:00:00,0.839951360281,11.8406758399,0.0,11.5072706397,0.0,0.316832959555,0.316832959555,0.316832959555,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.30782502836
 01/02  05:00:00,0.841148752294,12.0767544588,0.0,11.6774588299,0.0,0.321518799463,0.321518799463,0.321518799463,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.374681751422
 01/02  06:00:00,0.897299437979,12.4414661036,0.0,11.7463321696,0.0,0.323415108739,0.323415108739,0.323415108739,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667666824941
 01/02  07:00:00,1.16364759362,14.5905809088,0.0,13.3439370866,0.0,0.367402419884,0.367402419884,0.367402419884,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21490827873
