Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.930983694826,7.5589855204,0.0,7.10185880862,0.0,0.21019008889,0.21019008889,0.21019008889,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.428617222198
 01/01  02:00:00,0.81248292954,7.90647288096,0.0,7.54319090693,0.0,0.223264751765,0.223264751765,0.223264751765,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33703224383
 01/01  03:00:00,0.768122103124,8.10568319906,0.0,7.76863922374,0.0,0.229985886854,0.229985886854,0.229985886854,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311098589812
 01/01  04:00:00,0.757889330982,8.22924091316,0.0,7.88586895872,0.0,0.233405526084,0.233405526084,0.233405526084,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317791782569
 01/01  05:00:00,0.756249046152,8.3210963677,0.0,7.90474279319,0.0,0.233947937705,0.233947937705,0.233947937705,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391739697058
 01/01  06:00:00,0.803840869621,8.37154824024,0.0,7.63461598378,0.0,0.225859847781,0.225859847781,0.225859847781,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709465147469
 01/01  07:00:00,1.03637554445,9.09443469495,0.0,7.75603732697,0.0,0.2295048585,0.2295048585,0.2295048585,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3066618246
 01/01  08:00:00,1.34631012487,8.63311748584,0.0,7.11997022915,0.0,0.210600064546,0.210600064546,0.210600064546,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47942586415
 01/01  09:00:00,1.31005226325,8.54227228173,0.0,7.06684864585,0.0,0.208852474919,0.208852474919,0.208852474919,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4469141463
 01/01  10:00:00,1.14300793103,8.43946474408,0.0,7.09515685381,0.0,0.20993344552,0.20993344552,0.20993344552,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32004400923
 01/01  11:00:00,1.16820582673,9.25600841429,0.0,8.06792654075,0.0,0.238922229383,0.238922229383,0.238922229383,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16324734619
 01/01  12:00:00,1.16207632695,8.30524679367,0.0,7.26116160585,0.0,0.214866627804,0.214866627804,0.214866627804,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01924305184
 01/01  13:00:00,1.13718757418,8.03747453044,0.0,7.10318173137,0.0,0.210005488007,0.210005488007,0.210005488007,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90986913705
 01/01  14:00:00,1.1056610116,7.7778941474,0.0,6.91084448463,0.0,0.204437909082,0.204437909082,0.204437909082,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841781444211
 01/01  15:00:00,1.10185117504,7.61483158816,0.0,6.81081988631,0.0,0.201438028047,0.201438028047,0.201438028047,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777320671828
 01/01  16:00:00,1.16125103869,7.24239336959,0.0,6.42989972069,0.0,0.190137203758,0.190137203758,0.190137203758,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784318938479
 01/01  17:00:00,1.41980351243,7.15059871564,0.0,6.25073060011,0.0,0.184771343139,0.184771343139,0.184771343139,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866542371102
 01/01  18:00:00,1.89732612653,6.8976864444,0.0,5.82763891,0.0,0.172326418867,0.172326418867,0.172326418867,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02956208094
 01/01  19:00:00,2.23399890872,6.81094892729,0.0,5.57737811778,0.0,0.164816527178,0.164816527178,0.164816527178,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1896158265
 01/01  20:00:00,2.19393375168,6.67582485709,0.0,5.40720370932,0.0,0.15980108691,0.15980108691,0.15980108691,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22325096191
 01/01  21:00:00,2.03884909575,6.60848515885,0.0,5.42485683863,0.0,0.160348409601,0.160348409601,0.160348409601,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13669836778
 01/01  22:00:00,1.87586969109,6.79599718958,0.0,5.72954020912,0.0,0.169474346021,0.169474346021,0.169474346021,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02062266894
 01/01  23:00:00,1.56072711425,7.10167435013,0.0,6.22138720814,0.0,0.184116543297,0.184116543297,0.184116543297,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840623419227
 01/01  24:00:00,1.2442360352,7.36465302403,0.0,6.69046237957,0.0,0.198013061804,0.198013061804,0.198013061804,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639723607417
 01/02  01:00:00,0.933687686771,7.85273373555,0.0,7.41163171516,0.0,0.219467763911,0.219467763911,0.219467763911,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412592530805
 01/02  02:00:00,0.81693051103,8.1797690993,0.0,7.82499085834,0.0,0.23165935733,0.23165935733,0.23165935733,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32852851076
 01/02  03:00:00,0.776032296296,8.4558618265,0.0,8.12495659722,0.0,0.240507318452,0.240507318452,0.240507318452,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30495984378
 01/02  04:00:00,0.769286305494,8.65248377632,0.0,8.31567694184,0.0,0.246167904768,0.246167904768,0.246167904768,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311226662612
 01/02  05:00:00,0.768940777423,8.82553872791,0.0,8.42270839292,0.0,0.249310824591,0.249310824591,0.249310824591,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378216457539
 01/02  06:00:00,0.818337860077,8.95828130469,0.0,8.26034059557,0.0,0.244453530837,0.244453530837,0.244453530837,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670473600119
 01/02  07:00:00,1.03436827744,9.29647398842,0.0,8.04766487875,0.0,0.238123103704,0.238123103704,0.238123103704,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21707356629
 01/02  08:00:00,1.36274584674,9.79177057002,0.0,8.38794897083,0.0,0.248197148335,0.248197148335,0.248197148335,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37010020665
 01/02  09:00:00,1.30402794724,9.30467947218,0.0,7.94379003279,0.0,0.235265459792,0.235265459792,0.235265459792,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33237994981
 01/02  10:00:00,1.12066470876,9.10009239753,0.0,7.86265283435,0.0,0.232621281717,0.232621281717,0.232621281717,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21317568213
 01/02  11:00:00,1.13875927369,9.88236489623,0.0,8.78633941595,0.0,0.260391905631,0.260391905631,0.260391905631,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07119095292
