Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.957827912395,8.98574574777,0.0,8.5299632323,0.0,0.237034306459,0.237034306459,0.237034306459,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427273025885
 01/01  02:00:00,0.838168477392,9.32201170441,0.0,8.9601137385,0.0,0.248950299617,0.248950299617,0.248950299617,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335648235705
 01/01  03:00:00,0.792517319335,9.49009340118,0.0,9.15421593854,0.0,0.254381103064,0.254381103064,0.254381103064,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30993207713
 01/01  04:00:00,0.781503645733,9.59324433888,0.0,9.25083080805,0.0,0.257019840834,0.257019840834,0.257019840834,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316833358966
 01/01  05:00:00,0.780649301021,9.71404303987,0.0,9.29854501136,0.0,0.258348192574,0.258348192574,0.258348192574,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390884151059
 01/01  06:00:00,0.836033722831,10.0242429738,0.0,9.28799255376,0.0,0.258052700991,0.258052700991,0.258052700991,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708783311003
 01/01  07:00:00,1.05855900663,10.3970701772,0.0,9.05940736302,0.0,0.251688320678,0.251688320678,0.251688320678,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30592727083
 01/01  08:00:00,1.40000910497,11.0288234792,0.0,9.51644234066,0.0,0.264299044652,0.264299044652,0.264299044652,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47865974601
 01/01  09:00:00,1.35221963346,10.5041486195,0.0,9.029185116,0.0,0.251019845121,0.251019845121,0.251019845121,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44645401393
 01/01  10:00:00,1.18613563063,10.4544361423,0.0,9.11146354432,0.0,0.253061145116,0.253061145116,0.253061145116,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31870871697
 01/01  11:00:00,1.21903685105,11.6034528266,0.0,10.4166541639,0.0,0.289753253702,0.289753253702,0.289753253702,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16196413535
 01/01  12:00:00,1.20182172946,10.2151440506,0.0,9.17240466477,0.0,0.254612030311,0.254612030311,0.254612030311,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01789724986
 01/01  13:00:00,1.16930500166,9.65289179514,0.0,8.71978395198,0.0,0.242122915487,0.242122915487,0.242122915487,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90868418114
 01/01  14:00:00,1.13864875584,9.4139302564,0.0,8.54805035887,0.0,0.237425653321,0.237425653321,0.237425653321,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840611678977
 01/01  15:00:00,1.13477577236,9.24074043093,0.0,8.43780081517,0.0,0.234362625361,0.234362625361,0.234362625361,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776248585753
 01/01  16:00:00,1.20215724815,9.12944002229,0.0,8.31804432385,0.0,0.231043413221,0.231043413221,0.231043413221,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783220988031
 01/01  17:00:00,1.46185560459,9.06568599394,0.0,8.16688433206,0.0,0.226823435301,0.226823435301,0.226823435301,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865475917446
 01/01  18:00:00,1.97943753796,10.2228201907,0.0,9.15406044407,0.0,0.254437830301,0.254437830301,0.254437830301,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02827429316
 01/01  19:00:00,2.28426126233,8.98378114565,0.0,7.7522569981,0.0,0.215078880785,0.215078880785,0.215078880785,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18756916454
 01/01  20:00:00,2.24178731495,8.75076093467,0.0,7.4839361603,0.0,0.207654650185,0.207654650185,0.207654650185,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22145458851
 01/01  21:00:00,2.08979710203,8.79155419153,0.0,7.60926632437,0.0,0.211296415875,0.211296415875,0.211296415875,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13535791473
 01/01  22:00:00,1.92316511539,8.86991543081,0.0,7.80525846929,0.0,0.216769770316,0.216769770316,0.216769770316,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01882265001
 01/01  23:00:00,1.59762545826,8.83620749096,0.0,7.95768165636,0.0,0.221014887304,0.221014887304,0.221014887304,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838862111838
 01/01  24:00:00,1.27930381039,9.06283519979,0.0,8.39030729122,0.0,0.233080836994,0.233080836994,0.233080836994,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638060871519
 01/02  01:00:00,0.95877809596,9.24034347891,0.0,8.80092693603,0.0,0.2445581731,0.2445581731,0.2445581731,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.41090705329
 01/02  02:00:00,0.836720658665,9.40243906205,0.0,9.04900637551,0.0,0.251449504966,0.251449504966,0.251449504966,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327182956338
 01/02  03:00:00,0.790717515069,9.51425072846,0.0,9.18455752411,0.0,0.255192537225,0.255192537225,0.255192537225,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303747818845
 01/02  04:00:00,0.781043627994,9.61919459347,0.0,9.2834742162,0.0,0.257925227267,0.257925227267,0.257925227267,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310140205402
 01/02  05:00:00,0.779160231333,9.74270380858,0.0,9.34084386215,0.0,0.259530278502,0.259530278502,0.259530278502,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377246068979
 01/02  06:00:00,0.832715589581,10.0130217226,0.0,9.31576525009,0.0,0.258831260341,0.258831260341,0.258831260341,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.669789363499
 01/02  07:00:00,1.04906571978,10.348538797,0.0,9.10024731749,0.0,0.252820546049,0.252820546049,0.252820546049,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.2165559361
 01/02  08:00:00,1.38079814962,10.9893921143,0.0,9.58631006253,0.0,0.266249451217,0.266249451217,0.266249451217,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36936065927
 01/02  09:00:00,1.31996473396,10.3954108934,0.0,9.0352883556,0.0,0.251202246517,0.251202246517,0.251202246517,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33161304821
 01/02  10:00:00,1.1314345876,10.0017882003,0.0,8.76518239535,0.0,0.243391160551,0.243391160551,0.243391160551,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.2123419239
 01/02  11:00:00,1.15236545243,10.9458884581,0.0,9.85069268598,0.0,0.273998084372,0.273998084372,0.273998084372,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07036124475
 01/02  12:00:00,1.12901051318,9.41342358542,0.0,8.44694277414,0.0,0.23428957355,0.23428957355,0.23428957355,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.941638675298
 01/02  13:00:00,1.10239960951,8.89997362127,0.0,8.03265675067,0.0,0.223028029431,0.223028029431,0.223028029431,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.842893208588
 01/02  14:00:00,1.07311944616,8.56972840788,0.0,7.76110134425,0.0,0.21548437615,0.21548437615,0.21548437615,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.783358845079
 01/02  15:00:00,1.06875634529,8.22512956807,0.0,7.47367641381,0.0,0.207468770472,0.207468770472,0.207468770472,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.724762124251
 01/02  16:00:00,1.13010796765,7.82512372234,0.0,7.06475811853,0.0,0.196053105574,0.196053105574,0.196053105574,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732190893389
 01/02  17:00:00,1.3930423368,7.82574247084,0.0,6.98930962978,0.0,0.193928086761,0.193928086761,0.193928086761,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803107096623
 01/02  18:00:00,1.9168428183,9.16407717808,0.0,8.16977472104,0.0,0.227195040847,0.227195040847,0.227195040847,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.953817003582
 01/02  19:00:00,2.22752380342,8.08355526,0.0,6.94877479771,0.0,0.192651737418,0.192651737418,0.192651737418,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09082547928
 01/02  20:00:00,2.18450564104,7.81566450704,0.0,6.65742050265,0.0,0.184617730463,0.184617730463,0.184617730463,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11287381853
 01/02  21:00:00,2.0347561658,7.96284760151,0.0,6.88400312537,0.0,0.191110849974,0.191110849974,0.191110849974,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03191452371
 01/02  22:00:00,1.8716347937,8.2108134391,0.0,7.23272162103,0.0,0.2008463061,0.2008463061,0.2008463061,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932257506549
 01/02  23:00:00,1.56364928874,8.56263959088,0.0,7.75205263107,0.0,0.215331929712,0.215331929712,0.215331929712,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.77092323704
 01/02  24:00:00,1.25814755213,8.81890417901,0.0,8.18841749483,0.0,0.227459424068,0.227459424068,0.227459424068,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596019647133
 01/03  01:00:00,0.949094252408,8.89574919842,0.0,8.45557039872,0.0,0.234874329549,0.234874329549,0.234874329549,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411669310113
 01/03  02:00:00,0.823522672118,8.93172321047,0.0,8.57790455404,0.0,0.238251518418,0.238251518418,0.238251518418,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.32756892622
 01/03  03:00:00,0.77685465897,9.01954802755,0.0,8.68963069713,0.0,0.241329681127,0.241329681127,0.241329681127,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30397194492
 01/03  04:00:00,0.766286602,9.09067311602,0.0,8.75457537862,0.0,0.243168201273,0.243168201273,0.243168201273,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310517565529
 01/03  05:00:00,0.763599664923,9.18607808243,0.0,8.78366321449,0.0,0.243969712092,0.243969712092,0.243969712092,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377800990484
 01/03  06:00:00,0.819596631259,9.54519495112,0.0,8.84680328494,0.0,0.245712302019,0.245712302019,0.245712302019,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670924557191
 01/03  07:00:00,1.03691453862,9.91521488968,0.0,8.66457272192,0.0,0.240669364885,0.240669364885,0.240669364885,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21890662438
 01/03  08:00:00,1.36394494052,10.3883062809,0.0,8.9825883422,0.0,0.249396242124,0.249396242124,0.249396242124,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37199654618
 01/03  09:00:00,1.30365791966,9.81632743005,0.0,8.45381437159,0.0,0.234895432213,0.234895432213,0.234895432213,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33400356888
 01/03  10:00:00,1.12347938731,9.7195228592,0.0,8.48058559384,0.0,0.235435960266,0.235435960266,0.235435960266,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21467338432
 01/03  11:00:00,1.1275681292,10.0648165117,0.0,8.96767585927,0.0,0.249200761143,0.249200761143,0.249200761143,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07230612504
 01/03  12:00:00,1.08989825733,8.01709094695,0.0,7.04860611012,0.0,0.1951773177,0.1951773177,0.1951773177,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.94364270085
 01/03  13:00:00,1.04557479054,6.86981370014,0.0,6.00026392643,0.0,0.166203210458,0.166203210458,0.166203210458,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845126111699
 01/03  14:00:00,1.01378798669,6.4442291461,0.0,5.63259962038,0.0,0.156152916683,0.156152916683,0.156152916683,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.78636130717
 01/03  15:00:00,1.02343439322,6.60235865901,0.0,5.84809753929,0.0,0.162146818403,0.162146818403,0.162146818403,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727570089704
 01/03  16:00:00,1.09576393024,6.59048842598,0.0,5.82728548132,0.0,0.161709068167,0.161709068167,0.161709068167,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.735028234235
 01/03  17:00:00,1.36497075149,6.81580169281,0.0,5.97659028061,0.0,0.165856501448,0.165856501448,0.165856501448,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.80588566777
 01/03  18:00:00,1.88504467854,8.02709111472,0.0,7.03025223226,0.0,0.195396901096,0.195396901096,0.195396901096,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956353429009
 01/03  19:00:00,2.20369762292,7.2300039,0.0,6.09280432357,0.0,0.168825556916,0.168825556916,0.168825556916,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09324459342
