Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.88526898121,6.42538920449,0.0,5.96618697263,0.0,0.164475375274,0.164475375274,0.164475375274,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430692742274
 01/01  02:00:00,0.759618156275,6.55061672048,0.0,6.18528738398,0.0,0.170399978501,0.170399978501,0.170399978501,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.339079606302
 01/01  03:00:00,0.716162184391,6.8006364159,0.0,6.46163582422,0.0,0.178025968121,0.178025968121,0.178025968121,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.313055206175
 01/01  04:00:00,0.705021743811,6.89898780735,0.0,6.55334029747,0.0,0.180537938912,0.180537938912,0.180537938912,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.320067338011
 01/01  05:00:00,0.704178588675,7.02183641708,0.0,6.60334371371,0.0,0.181877480228,0.181877480228,0.181877480228,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.393878825918
 01/01  06:00:00,0.75973362437,7.33757731106,0.0,6.59837766911,0.0,0.18175260253,0.18175260253,0.18175260253,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.711732532958
 01/01  07:00:00,0.981098941429,7.66616335041,0.0,6.32555851966,0.0,0.174228255477,0.174228255477,0.174228255477,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30886928736
 01/01  08:00:00,1.30260176089,7.57681636347,0.0,6.06145259837,0.0,0.166891700567,0.166891700567,0.166891700567,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48164237255
 01/01  09:00:00,1.26448595074,7.40843893572,0.0,5.93050061829,0.0,0.163286162407,0.163286162407,0.163286162407,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44942882785
 01/01  10:00:00,1.09800991192,7.33513550032,0.0,5.9888710162,0.0,0.16493542641,0.16493542641,0.16493542641,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32200060308
 01/01  11:00:00,1.1189070139,8.06596993591,0.0,6.87595718073,0.0,0.189623416551,0.189623416551,0.189623416551,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16517822783
 01/01  12:00:00,1.11458769488,7.1188320689,0.0,6.072328694,0.0,0.167377995729,0.167377995729,0.167377995729,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02166123893
 01/01  13:00:00,1.08337519187,6.60917259461,0.0,5.67288309221,0.0,0.156193105697,0.156193105697,0.156193105697,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911865840383
 01/01  14:00:00,1.05730780276,6.53740616735,0.0,5.66843129139,0.0,0.156084700237,0.156084700237,0.156084700237,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843706657414
 01/01  15:00:00,1.03498826451,5.69376210841,0.0,4.88749265527,0.0,0.134575117514,0.134575117514,0.134575117514,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779578423126
 01/01  16:00:00,1.11186426697,5.92654841099,0.0,5.11201017835,0.0,0.140750432035,0.140750432035,0.140750432035,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786363522217
 01/01  17:00:00,1.37640101944,6.03609318478,0.0,5.13345237551,0.0,0.141368850148,0.141368850148,0.141368850148,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869315064842
 01/01  18:00:00,1.88376383253,6.83406969314,0.0,5.76168920109,0.0,0.158764124868,0.158764124868,0.158764124868,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0318950386
 01/01  19:00:00,2.20049789978,6.00054098993,0.0,4.76559355106,0.0,0.131315518237,0.131315518237,0.131315518237,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19099245587
 01/01  20:00:00,2.15860568404,5.7899813847,0.0,4.52081981023,0.0,0.124473019271,0.124473019271,0.124473019271,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22379138861
 01/01  21:00:00,2.0053350446,5.79147096367,0.0,4.60658288542,0.0,0.126834358444,0.126834358444,0.126834358444,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13795812581
 01/01  22:00:00,1.83715087659,5.81720547841,0.0,4.7489986234,0.0,0.130755531515,0.130755531515,0.130755531515,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02237254349
