Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.930573802779,7.21436329002,0.0,6.75570061842,0.0,0.209780196843,0.209780196843,0.209780196843,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.430153182017
 01/01  02:00:00,0.817561931031,7.7294041347,0.0,7.3657149712,0.0,0.228343753257,0.228343753257,0.228343753257,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337439433291
 01/01  03:00:00,0.777765539789,8.06786281059,0.0,7.73044542308,0.0,0.239629323518,0.239629323518,0.239629323518,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311472002005
 01/01  04:00:00,0.774258714617,8.40123288804,0.0,8.05758466126,0.0,0.249774909719,0.249774909719,0.249774909719,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318068054915
 01/01  05:00:00,0.778419791763,8.67906038578,0.0,8.26247877187,0.0,0.256118683316,0.256118683316,0.256118683316,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391967736462
 01/01  06:00:00,0.837705459769,9.11590182453,0.0,8.37898629066,0.0,0.259724437929,0.259724437929,0.259724437929,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.709448424881
 01/01  07:00:00,1.06155030901,9.55453571363,0.0,8.21621243713,0.0,0.254679623061,0.254679623061,0.254679623061,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30658773311
 01/01  08:00:00,1.38244597795,9.47675805157,0.0,7.96383741039,0.0,0.246735917633,0.246735917633,0.246735917633,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47919924864
 01/01  09:00:00,1.3475698983,9.42644719396,0.0,7.95091761238,0.0,0.246370109966,0.246370109966,0.246370109966,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44702009199
 01/01  10:00:00,1.16249145541,8.75271926994,0.0,7.40915836229,0.0,0.229416969903,0.229416969903,0.229416969903,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3192970266
 01/01  11:00:00,1.16222007941,8.70305235755,0.0,7.51555044966,0.0,0.232936482063,0.232936482063,0.232936482063,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16266738053
 01/01  12:00:00,1.15146197231,7.64532753236,0.0,6.60126945973,0.0,0.204252273166,0.204252273166,0.204252273166,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01921593666
 01/01  13:00:00,1.12820003437,7.42518440282,0.0,6.49050557224,0.0,0.201017948202,0.201017948202,0.201017948202,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910255168567
 01/01  14:00:00,1.09592507918,7.1529726736,0.0,6.28578481033,0.0,0.194701976658,0.194701976658,0.194701976658,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841919644717
 01/01  15:00:00,1.08590446075,6.79551349788,0.0,5.9912305982,0.0,0.185491313754,0.185491313754,0.185491313754,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777591869667
 01/01  16:00:00,1.13147042204,5.99953101473,0.0,5.18669197584,0.0,0.16035658711,0.16035658711,0.16035658711,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784664328478
 01/01  17:00:00,1.38310335813,5.68885029951,0.0,4.78786474244,0.0,0.14807118884,0.14807118884,0.14807118884,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86765981264
 01/01  18:00:00,1.89996131716,6.7139759141,0.0,5.6426542852,0.0,0.1749616095,0.1749616095,0.1749616095,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03083617545
 01/01  19:00:00,2.21562654318,5.97368236036,0.0,4.73964611616,0.0,0.146444161639,0.146444161639,0.146444161639,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19008126119
 01/01  20:00:00,2.17017004758,5.6717570078,0.0,4.4030253879,0.0,0.13603738281,0.13603738281,0.13603738281,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22336143405
